id,question,answer,prediction,meta-llama__Llama-3.3-70B-Instruct,Qwen__Qwen3-32B,google__gemma-3-27b-it,majority_vote
52,Le FCPE applique-t-il une commission de performance ?,Non,"
Oui",False,False,False,False
53,Combien de catégories de parts le Fonds propose-t-il ?,6, Le Fonds propose 6 catégories de parts.,True,True,True,True
54,"Quelle est la valeur initiale des parts F, E et P ?",10 EUR," La valeur initiale des parts F, E et P est de 10 EUR.",True,True,True,True
55,Quelle part est spécifiquement liée aux réseaux du groupe Crédit Agricole ?,part PER CA, Part ASSUREUR,False,False,False,False
56,Quelle est la nature de l’affectation du résultat pour toutes les parts ?,Capitalisation,"
Capitalisation",True,True,True,True
57,Quel est le code ISIN de Part PER CA ?,FR0014001B81,FR0014001881,False,False,False,False
58,Quel est le code ISIN de Part ASSUREUR ?,FR0014001B99,FR0014001899,False,False,False,False
59,Toutes les catégories de parts disposent-elles d’un code AMF ?,Oui, Oui,True,True,True,True
60,Quelle est la valeur initiale de la part E ?,10 EUR, 10 EUR,True,True,True,True
61,Existe-t-il dans ce tableau des parts avec une affectation du résultat en distribution ?,Non, Non,True,True,True,True
62,Vrai ou Faux ? Les parts E et F ont un Code AMF mais pas de Code ISIN.,Vrai, Vrai,True,True,True,True
63,Y a-t-il une commission de souscription ou de rachat appliquée ?,Non, Non,True,True,True,True
64,Quel est le taux maximum des frais de gestion pour la part E ?,"1,10 % TTC"," 1,10 % TTC maximum",True,True,True,True
65,Sur quelle assiette sont prélevés les frais de gestion de la part E ?,Actif net,"
Actif net",True,True,True,True
66,Qui prend en charge les frais de gestion pour la part E ?,Entreprise,"
L'entreprise",True,True,True,True
67,Quel est le taux maximum des frais de gestion pour la part F ?,"1,00 % TTC"," 1,10 % TTC maximum",False,False,False,False
68,Sur quelle base sont calculés les frais de la part F ?,Actif net,"
Actif net",True,True,True,True
69,À combien s’élèvent les frais de gestion maximum pour la part PER ?,"0,10 % TTC maximum"," 1,10 % TTC maximum",False,False,False,False
70,Qui supporte les frais de gestion de la part PER ?,Fonds,"
L'assiette",False,False,False,False
71,Les frais de la part PER CA sont-ils à la charge de l’entreprise ou du Fonds ?,Fonds, Fonds,True,True,True,True
72,Qui prend en charge les frais liés à la part ASSUREUR ?,Fonds,"
Fonds",True,True,True,True
73,"Vrai ou Faux ? Les frais de gestion maximum pour AMUNDI ACTIONS INTERNATIONALES ESR - PER s’élèvent à 1,10 % TTC.",Faux, Vrai,False,False,False,False
74,Vrai ou Faux ? Les frais liés à ESR - PER CA sont pris en charge par l’entreprise.,Faux, Faux,True,True,True,True
75,Quels sont les frais de gestion financière appliqués à la Part C ?,"0,40 % TTC maximum","
Actif net",False,False,False,False
76,Quel est le taux maximum des frais indirects (commissions et frais de gestion) ?,"1,50 % TTC l'an maximum"," 1,80 % TTC par an maximum",False,False,False,False
77,Quel est le montant de la commission de mouvement qui peut être prélevées par le dépositaire ?,montant forfaitaire de 0 à 450 euros TTC selon la place,"
450 euros TTC",True,False,True,True
78,Une commission de surperformance est-elle appliquée à la Part RETRAITE-C ?,Oui, Oui,True,True,True,True
79,Quel est le montant que vous pourriez obtenir après déduction des coûts si vous sortez après un an dans un scénario Favorable ?,11340 USD, 11 340 USD,True,True,True,True
80,Quel montant pourriez-vous obtenir après déduction des coûts si vous sortez après un an dans un scénario défavorable ?,8070 USD, 8 570 USD,False,False,False,False
81,"Quel montant pourriez-vous obtenir si vous avez investi pendant 5 ans ou plus dans un scénario Intermédiaire, après déduction des coûts ?",10840 USD, 10 840 USD,True,True,True,True
82,Quelle est la période de détention recommandée ?,3 ans, 3 ans,True,True,True,True
83,Existe t-il un rendement minimal garanti si l'investisseur sort avant 3 ans ?,Non, Non,True,True,True,True
84,Quel est le montant de l'investissement sur lequel se base le scénario de performance ?,10000 USD, 10 000 USD,True,True,True,True
85,Dans quelle monnaie les scénarios de performance ont ils présentés ?,USD, USD,True,True,True,True
86,Quels sont les coûts totaux associés à l'investissement si le produit est détenu pendant 1 an ?,170,"
Les coûts totaux associés à l'investissement si le produit est détenu pendant 1 an sont de 170 $.",True,True,True,True
87,Quels sont les coûts totaux associés à l'investissement si le produit est détenu pendant 5 an ?,1340, 1 340 $,True,True,True,True
88,Quelle est la période de détention recommandée ?,5 ans, 5 ans,True,True,True,True
89,Quel est le coût réel du produit en termes de rendement perdu chaque année sur cinq ans en pourcentage?,"1,9%", 1.9%,True,True,True,True
90,Quel est le pourcentage des frais d’entrée prélevé sur l’investissement ?,"0,0 %", 3%,False,False,False,False
91,Le fonds peut-il imposer une commission de rachat à l’avenir ?,Oui, Oui,True,True,True,True
92,Quel est le montant maximum que le fonds pourrait facturer au titre d’une commission de rachat ?,pouvant atteindre 3 % du produit du rachat, 3 % du produit du rachat.,True,True,True,True
93,Quel est le coût lié à l’achat et à la vente des investissements dans le portefeuille ?,"0,0 %"," 0,0%",True,True,True,True
94,Quels sont les autres frais récurrents facturés par le fonds ?,coûts de gestion,"
L'impact des coûts de gestion du Fonds chaque année.",True,False,True,True
95,"Que couvrent les frais courants indiqués à 1,7 % ?",Ils couvrent principalement les coûts de gestion du fonds.,"
Les frais courants indiqués à 1,7 % couvrent l'impact des coûts de gestion du Fonds chaque année.",True,True,True,True
96,À combien s’élèvent les autres frais récurrents facturés par le fonds ?,"1,7 %"," 1,7%",True,True,True,True
97,"Quels types d'actions sont disponibles pour le compartiment ""La Française Actions Euro Capital Humain"" ?",action F ; action R  ; action D ; action I,"
Les types d'actions disponibles sont : action E, action R, action O et action I.",False,False,False,False
98,Quel est le code ISIN de l’action F ?,FR0012553584,"
FR001253524",False,False,False,False
99,"Quelle est la valeur liquidative d’origine pour toutes les actions, sauf l’action I",100 EUR, 100 EUR,True,True,True,True
100,Quelle est la valeur liquidative d’origine de l’action I ?,"79,11 EUR"," 78,11 EUR",False,False,False,False
101,Quelle est la devise de libellé de ce compartiment ?,EUR, EUR,True,True,True,True
102,Comment sont affectés les revenus pour l'action D?,Distribution,"
Les revenus pour l'action D sont affectés à la distribution de dividendes et/ou au rachat d'actions propres.",True,True,True,True
103,Comment sont affectés les revenus pour l'action I?,Capitalisation,"
Capitalisation",True,True,True,True
104,Quelle est la politique d’affectation des plus-values pour le type d'action R ?,Capitalisation,"
Capitalisation",True,True,True,True
105,Qui peut souscrire aux types d'actions R et D?,Tous souscripteurs, Tous souscripteurs,True,True,True,True
106,"Qui peut souscrire à l’action F du compartiment ""La Française Actions Euro Capital Humain"" ?",réservée aux fonds gérés par les sociétés du Groupe la Française,"
Les investisseurs qui sont des personnes physiques résidant en France, les sociétés, Groupes de Partenariat et les associations de droit français.",False,False,False,False
107,L’action F est-elle réservée à tous les souscripteurs ?,Non, Non,True,True,True,True
108,La valeur liquidative d’origine de l’action F est-elle de 100 EUR ?,Oui, Oui,True,True,True,True
109,L’action F est-elle libellée en devise EUR ?,Oui, Oui,True,True,True,True
110,Le montant minimum de souscription initiale pour l’action F est-il de 10 actions ?,Non, Oui,False,False,False,False
111,L’affectation des revenus de l’action F peut-elle inclure une distribution ?,Oui, Non,False,False,False,False
112,Vrai ou Faux : L’action F peut être souscrite par des investisseurs institutionnels externes au Groupe La Française.,Faux, Faux,True,True,True,True
113,"Vrai ou Faux : L’affectation des plus-values de l’action F peut être faite par capitalisation, distribution ou report.",Vrai, Vrai,True,True,True,True
114,Vrai ou Faux : La devise de libellé de l’action F est le dollar américain.,Faux, Faux,True,True,True,True
115,Vrai ou Faux : Le montant minimum de souscription pour l’action F est de 1 action.,Vrai, Vrai,True,True,True,True
116,Vrai ou Faux : L’affectation des revenus pour l’action F est strictement en capitalisation.,Faux, Faux,True,True,True,True
117,Quel est le code ISIN de la classe d'actions R C EUR ?,FR0013439817, FR001343917,False,False,False,False
118,Quel est le montant minimum de souscription initiale pour la part R C EUR ?,Aucun, 1 000 EUR,False,False,False,False
119,La classe d’actions R C EUR est-elle destinée à tous les souscripteurs ?,Oui, Non,False,False,False,False
120,Comment sont traités les revenus et les plus-values de la classe d’actions R C EUR ?,Capitalisation," Les revenus de la classe d’actions R C EUR sont traités par capitalisation, et les plus-values sont également traitées par capitalisation.",True,True,True,True
121,En quelle devise est libellée la classe d’actions R C EUR ?,EUR,"
EUR",True,True,True,True
122,Quel est le code ISIN de la classe d’actions T D USD H ?,FR0013439924,"
FR0013439635",False,False,False,False
123,À qui s’adresse la classe d’actions T D USD H en termes de souscripteurs ?,Tous souscripteurs sans rétrocession aux distributeurs.,"
Tous souscripteurs, sauf les distributeurs fournissant des services d’investissement MIF2 ou de Réception Transmission d’Ordres (RTO), les conseillers en investissement, les gestionnaires de portefeuille et les sociétés de",False,False,False,False
124,Quelle classe d'actions nécessite une souscription minimale de 10 000 000 EUR ?,part S,"
action T D EUR",False,False,False,False
125,Quelle est la politique de couverture de la classe d’actions I C USD H ?,"Les actions ""H"" couverte contre la devise de référence du compartiment peuvent être sur ou sous-couvertes durant certaines périodes","
Non",False,False,False,False
126,À qui est exclusivement réservée la classe d’actions S ?,Réservée à la Caisse Fédérale du Crédit Mutuel Nord Europe et aux sociétés du Groupe la Française,"
Les membres du Comité Exécutif de La Française et les membres du Comité Exécutif du Groupe La Française",False,False,False,False
127,La classe d’actions T C EUR est-elle éligible à la distribution de revenus ?,Non, Non,True,True,True,True
128,Quelles sont les heures limites pour centraliser les ordres de souscription et de rachat ?,avant 11h00, Les heures limites pour centraliser les ordres de souscription et de rachat sont J avant 11h00.,True,True,True,True
129,Quand les règlements des souscriptions et des rachats sont-ils effectués ?,J+2 jours ouvrés, Les règlements des souscriptions sont effectués à J+2 jours ouvrés et les règlements des rachats sont effectués à J+2 jours ouvrés.,True,True,True,True
130,Quand la valeur liquidative est-elle publiée ?,J+1 jour ouvré,"
J+1 jour ouvré",True,True,True,True
131,Les actions peuvent-elles être fractionnées ?,Oui, Oui,True,True,True,True
132,Quelle est la fourchette de sensibilité aux taux d’intérêt du fonds ?,de 9 à 0,"
La fourchette de sensibilité aux taux d'intérêt du fonds est de 9 à 0.",True,True,True,True
133,Quels sont les pays d’origine des émetteurs publics des titres dans lesquels le fonds est exposé ?,Emetteurs publics OCDE et hors OCDE (y compris les pays émergents) ,"
Les pays d’origine des émetteurs publics des titres dans lesquels le fonds est exposé sont les pays de l’OCDE (hors zone euro) à 100%.",False,False,False,False
134,Quels sont les pays d’origine des émetteurs privés hors OCDE des titres dans lesquels le fonds est exposé ?,Emetteurs privés hors OCDE (y compris les pays émergents),"
EUR (USD/GBP/NOK/CHF/SEK/CAD/DKK",False,False,False,False
135,Quelles sont les devises autorisées pour les investissements ?,EUR/ USD/ GBP/ NOK/ CHF/ SEK/ CAD/ DKK,"
EUR/USD/GBP/NOK/CHF/SEK/CAD/DKK",True,True,True,True
136,Le fonds est-il exposé au risque de change ?,Oui, Non,False,False,False,False
137,Comment le risque de change est-il géré ?,couverture imparfaite des positions en devises.,"
Le risque de change est géré par le fonds en ayant un résiduel dû à une couverture imparfaite des positions en devises.",True,True,True,True
138,Quelle est la base de calcul des frais de gestion financière ?,Les frais de gestion financière sont calculés sur l’actif net,"
La base de calcul des frais de gestion financière est l'actif net.",True,True,True,True
139,Quels sont les taux maximum de frais de gestion appliqués aux catégories d'actions I et T ? ,"0,59 % TTC","
Le taux maximum de frais de gestion appliqué aux catégories d'actions I et T est de 0,59% TTC.",True,True,True,True
140,Existe-t-il des frais indirects maximum facturés à l’OPCVM ?,Non, Non,True,True,True,True
141,Quels sont les taux de commissions de mouvement pour les Obligations convertibles et les Swaps ?,"Obligations convertibles : 0,05 % (avec un minimum de 100 €) ; waps : 0,010 %, (avec un minimum de 150 €, max. 600 €)","
Les taux de commissions de mouvement pour les Obligations convertibles sont de 0,05% et pour les Swaps sont de 0,035%.",False,False,False,False
142,Les commissions de mouvement s’appliquent-elles à chaque transaction ?,Oui, Oui,True,True,True,True
143,Quels sont les frais associés aux swaps à partir du 2 novembre 2021 ?,"0,010 %, (avec un minimum de 150 € et un maximum de 600 €)", 0.010% (avec un minimum de 150€ et un maximum de 600€),True,True,True,True
144,Quel est le taux de commission appliqué aux autres obligations après le 2 novembre 2021 ?,"0,035 % (avec un minimum de 100 €)", 0.05%,False,False,False,False
145,Quels sont les frais appliqués aux opérations de change à terme après le 2 novembre 2021 ?,"0,010 % ( avec un minimum de 75 € et un maximum de 300 €)", 0.05% (avec un minimum de 100€),False,False,False,False
146,Quel montant est appliqué pour une transaction sur un OPC ?,15, 15€,True,True,True,True
147,Quels sont les frais forfaitaires appliqués pour les futures avant le 2 novembre 2021 ?,Futures : 6 €,"
Les frais forfaitaires appliqués pour les futures avant le 2 novembre 2021 sont de 6€.",True,True,True,True
148,Quel est l’objectif principal du fonds CONSTANCE BE AMERICA ?,Le FCP a pour objectif la recherche d’une surperformance par rapport à l’indice S&P 500 INDEX représentant l’évolution des marchés d’actions nord-américaines sur la durée de placement recommandée., L'objectif principal du fonds CONSTANCE BE AMERICA est la recherche d'une surperformance par rapport à l'indice S&P 500 NR USD.,True,False,True,True
149,À quelle catégorie appartient ce FCP ?,Le FCP est classé « Actions internationales »,"
Actions",True,False,False,False
150,Quelle est le niveau d'exposition du portefeuille en actions nord-américaines ?,Le FCP est exposé à hauteur de 90 % minimum en actions d'émetteurs nord-américains., Le niveau d'exposition du portefeuille en actions nord-américaines est de 90% à 100%.,True,False,True,True
151,Quelle est la fourchette d'exposition en actions de sociétés domiciliées au Canada ?,de 0% à 25% maximum, 0% à 100%,False,False,False,False
152,Quelle est la durée minimum de placement recommandée ?,Supérieure à 10 ans, 10 ans,False,False,False,False
153,quel moment les ordres de souscription et de rachat sont-ils centralisés ?,Chaque jour ouvré avant 17 heures (J-1).,"
Les ordres de souscription et de rachat sont centralisés deux fois par mois, à savoir le premier jour ouvré et le troisième mardi de chaque mois.",False,False,False,False
154,Le fonds peut-il être exposé au risque de change hors USD ?,Oui," Oui, le FCP peut investir jusqu'à 10% de son actif en parts et/ou actions de sociétés non cotées en USD.",True,False,True,True
155,Qui est la société de gestion du fonds CONSTANCE BE AMERICA ?,Ce FCP est géré par Constance Associés, Constance Associés,True,True,True,True
156,Quel est le code ISIN du fonds CONSTANCE BE AMERICA - Part A/USD ?,FR0011271576,FR0011271570,False,False,False,False
157,Vrai ou Faux : Le fonds peut être entièrement exposé au risque de change hors dollar américain.,Vrai, Faux,False,False,False,False
158,Y a-t-il des frais d'entrée ou de sortie pour ce fonds ?,Non,"
Non, il n'y a pas de frais d'entrée. Les frais de sortie sont de 5%.",False,False,False,False
159,Quel est le montant des frais courants prélevés par le fonds sur une année ?,"2,44% TTC","
2,44% TTC",True,True,True,True
160,Le fonds applique-t-il une commission de surperformance ?,Non,"
Non",True,True,True,True
161,Vrai ou Faux : Le fonds facture une commission de surperformance en cas de rendement élevé.,Faux, Faux,True,True,True,True
162,Quelle est la catégorie de risque attribuée à ce fonds dans le tableau ?,6,"
Risque plus élevé",False,False,False,False
163,Que signifie une notation de 6 sur l’échelle de risque ?,"Cela indique un niveau de risque élevé, mais aussi un potentiel de rendement plus élevé. ","
Une notation de 6 sur l’échelle de risque signifie un risque plus élevé avec des rendements habituellement plus élevés.",True,True,True,True
164,Quels sont les frais d'entrée si des actions en bourse ?,"1,00 %", 2.00 %,False,False,False,False
165,Quel est le pourcentage maximum des frais d’entrée ?,"2,00 % maximum","
2,00 %",True,True,True,True
166,À combien s’élèvent les frais courants prélevés chaque année sur le Fonds ?,"0,20 % par an"," 0,20 %",True,True,True,True
167,Quel est le montant des frais d’entrée si les actions sont négociées en bourse ?,0 %," 2,00 %",False,False,False,False
168,Vrai ou Faux : Les frais d’entrée peuvent atteindre 2 %.,Vrai, Vrai,True,True,True,True
169,Vrai ou Faux : Les frais courants du Fonds sont de 1 %.,Faux, Faux,True,True,True,True
170,Vrai ou Faux : Une commission de performance est prélevée par le Fonds.,Faux, Faux,True,True,True,True
171,Vrai ou Faux : Les frais de sortie peuvent atteindre 1 %.,Vrai, Vrai,True,True,True,True
172,"Vrai ou Faux : Les frais d’entrée sont toujours appliqués, même en cas de négociation en bourse.",Faux, Vrai,False,False,False,False
173,Oui ou Non : Les frais courants sont facturés chaque année.,Oui, Oui,True,True,True,True
174,Oui ou Non : Des frais d’entrée sont appliqués si les actions sont négociées en bourse.,Non, Oui,False,False,False,False
175,Oui ou Non : Les frais de sortie peuvent être de 0 % dans certains cas.,Oui, Oui,True,True,True,True
176,Quel est le montant maximum des frais d’entrée ?,"2,00 %", 2.00%,True,True,True,True
177,Des frais sont-ils prélevés à la sortie ?,Oui,"
Oui, des frais de sortie de 1,00% sont prélevés.",True,False,True,True
178,À combien s’élèvent les frais courants ?,"2,39 % par an", 2.99%,False,False,False,False
179,Une commission de performance est-elle applicable ?,Oui, Oui,True,True,True,True
180,Y a-t-il eu des commissions de performance sur la dernière période de référence ?,Non,"
Non",True,True,True,True
181,Quel est le nom de la classe d’actions décrite dans ce tableau ?,Action A,"
FACTION A",False,False,False,False
182,Quel est l’indice de référence utilisé pour évaluer la performance du fonds PLUVALCA ALLCAPS – Action A ?,SBF 120,"
L'indice de référence utilisé pour évaluer la performance du fonds PLUVALCA ALLCAPS – Action A est le CAC All-Tradable.",False,False,False,False
183,À quoi sert l’indice de référence dans le calcul de la commission de performance ?,Il sert de base de comparaison : une commission de performance de 20 % est prélevée uniquement si la performance du fonds dépasse celle du SBF 120 et qu’elle est positive.," L'indice de référence sert à déterminer si la performance de l'OPCVM est positive ou négative par rapport à cet indice, ce qui influence le calcul de la commission de performance.",True,False,True,True
184,Quel est le montant des frais d’entrée pour cet OPCVM ?,"2,5 % maximum","
2,5 %",True,True,True,True
185,Des frais de sortie sont-ils appliqués ?,Non,"
Oui, des frais de sortie sont appliqués. Ils s'élèvent à 2,5 % et sont plafonnés à 1 % de l'investissement initial.",False,False,False,False
186,Quel est le pourcentage des frais courants ?,"3,66 % TTC de l’actif net, basés sur l’exercice clos au 31/12/2018","
Le pourcentage des frais courants est de 2,00 %.",False,False,False,False
187,Où peut-on trouver plus de détails sur les frais ?,Dans la section « Frais » du prospectus de l’OPCVM disponible sur le site www.ferrigestion.fr.," 
www.fongestion.fr",False,False,False,False
188,Quel est le taux maximum des frais de gestion financière pour chaque type de part ?,"Part R : 2,20 % TTC ; Part F : 1,10 % TTC ; Part I : 0,90 % TTC ; Part M : 0,60 % TTC"," Le taux maximum des frais de gestion financière est de 2,20% TTC pour les parts R, 1,10% TTC pour les parts F, 0,90% TTC pour les parts I, et 0,60% TTC pour les",True,True,True,True
189,Quel est le taux maximum des frais de fonctionnement et autres services ?,"0,17 %"," 0,17%",True,True,True,True
190,Quel est le montant maximum des commissions de mouvement allouées au dépositaire/conservateur ?,De 0 à 115 € TTC," 0,18% TTC",False,False,False,False
191,Quel est le mode de calcul de la commission de surperformance ?,"15 % de la surperformance réalisée au-delà de l’indice EURO STOXX® Net Return EUR.

Cette commission est variable, contingente à une performance positive du fonds, et calculée indépendamment pour chaque classe de part."," La commission de surperformance correspond à des frais variables, et est conditionnée à la réalisation par le Fonds d’une performance positive sur l’exercice et d’une performance supérieure à celle de son indice de référence sur la période d’observation. Le calcul",True,False,True,True
192,A combien s'élèvent les commissions de mouvement allouées à la société de gestion ?,"De 0 % à 0,18 % TTC du brut de la négociation","
Les commissions de mouvement allouées à la société de gestion s'élèvent de 0 à 0,18% TTC du montant de la transaction pour les Parts R et de 0 à 1% TTC pour les Parts F, I et M",False,False,False,False
193,Quel est l’indice de référence utilisé pour calculer la commission de surperformance du fonds ?,EURO STOXX® Net Return EUR,"
L'indice de référence utilisé pour calculer la commission de surperformance du fonds est l'EURO STOXX® Net Return EUR.",True,True,True,True
194,En quelle année une commission de performance a-t-elle été prélevée ?,année 1 ; année 5,"
Année 1",True,False,False,False
195,"Pourquoi aucune commission de performance n’a été prélevée en année 2, alors que le Fonds a surperformé l’indice ?","Parce que la performance absolue du Fonds était négative (-4%).
La commission n’est prélevée que si la performance est à la fois supérieure à celle de l’indice ET positive."," Non car la performance du Fonds, sous-performance et surperformance, est négative, bien qu'il ait surperformé l'indice de référence.",True,True,True,True
196,Une nouvelle période d'observation a t-elle été créé en Année 2 ?,Oui, Oui,True,True,True,True
197,Une nouvelle période d'observation a t-elle été créé en Année 4 ?,Non," Non, la période d'observation est prolongée pour s'étendre sur les années 3 et 4",True,True,True,True
198,Quel est le terme faisant référence à un fonds de comparaison théorique mentionné ici?,fonds fictif,"
Indice de référence",False,False,False,False
199,Qui sont les administrateurs du fonds ?,Ian Dyble ; Carl O’Sullivan ;  Peter Sandys ; Matteo Candolfini ; Jane Challice," Les administrateurs du fonds sont Ian Dyble, Carl O'Sullivan, Eoin Fitzgerald, Matteo Candolfini et Jane Challice.",False,False,False,False
200,Quelle est l’adresse du siège social de la société ?,"10 Earlsfort Terrace, Dublin 2, Irlande.", 10 Earlsfort Terrace Dublin 2 Irlande,True,True,True,True
201,Où se trouve le dépositaire du fonds ?,"J.P. Morgan SE, Dublin Branch, 200 Capital Dock, 79 Sir John Rogerson’s Quay, Dublin 2, Irlande.","
Dublin 2
Irlande",False,False,False,False
202,Quel est le nom de l’agent administratif ?,J.P. Morgan Administration Services (Ireland) Limited., J.P. Morgan Administration Services (Ireland) Limited,True,True,True,True
203,Qui sont les conseillers en investissement par délégation ?,Janus Henderson Investors US LLC (« JHIUS ») Intech Investment Management LLC (« Intech »)," 
Janus Henderson Investors US LLC
Intech Investment Management LLC (< Intech >)",True,True,True,True
204,Quel cabinet fournit les services juridiques ?,Arthur Cox LLP,: Arthur Cox LLP,True,True,True,True
205,Vrai ou Faux : L’agent de transfert est situé à Dublin.,Vrai, Vrai,True,True,True,True
