id,question,answer,prediction,google__gemma-3-27b-it,meta-llama__Llama-3.3-70B-Instruct,Qwen__Qwen3-32B,majority_vote
70,"L'acquisition de parts de la Catégorie A est-elle envisageable en livres sterling, avec un apport initial de 2 500 GBP, et ce, dès maintenant ?",Oui," Oui",True,True,True,True
71,"Le positionnement initial en Catégorie G requiert-il un capital de départ excédant 10 000 000 EUR, dans le cas présent ?",Oui," Non",False,False,False,False
72,"La Catégorie Y, cette catégorie à laquelle nous allons nous intéresser maintenant , sa souscription est-elle permise en dollar américain ?",Non," Non",True,True,True,True
73,"L'affectation de capitaux à la Catégorie Z, une démarche parfois ardue pour les investisseurs, est-elle réalisable en euros, avec un versement de départ s'élevant à un million de ces mêmes unités monétaires ?",Non," Non",True,True,True,True
74,"Est il vrai que concernant la catégorie S libellée en dollars américains, son seuil de souscription initial est plus élevé que celui requis pour la Catégorie  I ?",Vrai," Oui",True,True,True,True
75,"Vrai ou Faux : Le capital de départ minimal exigé pour l'accès à la Catégorie E s'élève-t-il invariablement à 2 500 unités monétaires, et ce, quelle que soit la devise de libellé des parts de ce fonds  (EUR ou USD) ?",Faux," Vrai",False,False,False,False
76,"Au sein du tableau que nous analysons actuellement, y a-t-il, par hasard, des titres dont la valeur nominale est exprimée dans une unité monétaire d'un pays du continent asiatique ?",Oui," Oui",True,True,True,True
77,"Parmi les diverses éléments de ce tableau d'investissement que nous avons ici sous les yeux se distingue-t-il des groupements d'actions dont la dénomination monétaire intrinsèque serait celle du Réal brésilien (dont le sigle, fort connu, est BRL) ?",Oui," Oui",True,True,True,True
78,"Ce dispositif de placement, dont nous examinons les spécificités en ce moment, intègre-t-il (et c'est une question cruciale, n'est-ce pas ?) dans ses processus d'évaluation et de décision les répercussions les plus significatives, celles qui sont défavorables sur les déterminants environnementaux, sociaux et de gouvernance (ESG, pour les initiés) ?",Oui," Oui",True,True,True,True
79,"Concernant la Catégorie I, est-elle assujettie à des charges de gestion d'ordre administratif provenant d'entités tierces, extérieures à la structure principale ?",Non," Non",True,True,True,True
80,"Des frais indirects toutes taxes comprises , sont-ils applicables à ce véhicule d'investissement ? ",Non," Oui",False,False,False,False
81,"Des rétributions liées aux opérations, ces fameuses ""commissions de mouvement"", peuvent-elles être effectivement soustraites du capital investi ici, à chaque acte transactionnel ?",Non," Oui",False,False,False,False
82,"Pour ce qui est des instruments de dette émis par le secteur privé , leur valorisation est-elle inférieure, c'est-à-dire plus ""décotée"", comme on dit dans le jargon, comparée à celle des obligations émises par les émetteurs du secteur public, d'après les informations fournies ?",Oui," Oui",True,True,True,True
83,Est-il possible d'avoir une décote nulle sur des titres autres que les espèces ?,Oui," Non",False,False,False,False
84,La classe R impose-t-elle des frais de sortie ?,Non," Non",True,True,True,True
85,Est-ce que la valorisation de l’inventaire est réalisée 1 fois/semaine ?,Faux," Non",True,True,True,True
86,Vrai / Faux : Le règlement des opérations de souscription et de rachat intervient à J+3 après la date de transaction.,Vrai," Vrai",True,True,True,True
87,"Existe t-il d’autres classes que la ""Classique"" en EUR (ISIN LU0151324422) avec un taux de provisionnement de 20% ?",Non," Oui",False,False,False,False
88,"La classe R-H (ISIN LU2069305865) emploie-t-elle une méthodologie spécifique comme celle du ""High Water Mark"" ?",Oui," No",False,False,False,False
89,Toutes les classes d’actions ont-elles un taux de provisionnement précisé ?,Oui," Non",False,False,False,False
90,Le cadre d'investissement de l'OPCVM permet-il l'acquisition de titres émis par des OPCVM de droit français ?,Oui," Oui",True,True,True,True
91,L'OPCVM est-il restreint aux seuls fonds d'investissement de droit national pour ses placements ?,Oui," Non",False,False,False,False
92,Les FIA européens sont-ils des actifs que l'OPCVM est en droit d'acquérir ?,Oui," Oui",True,True,True,True
93,"La panoplie d'instruments de gestion inclut-elle des produits dérivés de crédit, tels que les Credit Default Swaps (CDS) ?",Non," Oui",False,False,False,False
94,Le tableau de stratégie indique-t-il que les obligations convertibles sont mobilisées spécifiquement pour la gestion du risque de crédit ?,Non," Non",True,True,True,True
95,La mise en œuvre de stratégies d'arbitrage repose-t-elle sur l'utilisation des obligations convertibles ?,Non," Non",True,True,True,True
96,Est-il précisé que les bons de souscription peuvent servir dans des stratégies de couverture ?,Oui," Non",False,False,False,False
97,"Selon les informations fournies dans le tableau, Les produits de taux assortis d’une option de vente, figurent-ils parmi les instruments activés pour une stratégie d'intervention, quelle qu'elle soit ?",Non," Non",True,True,True,True
98,Le recours aux EMTN structurés a-t-il pour objectif de gérer l'exposition au risque de taux ou au risque d'actions ?,Non," Taux",False,False,False,False
99,Peut-on consulter le prospectus sur Internet d'après les informations du tableau ?,Oui," Oui",True,True,True,True
100,Est-ce que la diffusion des dividendes passe par des canaux médiatiques ?,Non," Non",True,True,True,True
101,"Si le swing pricing dépasse 2 %, en est-on informé via les médias ?",Non," Non",True,True,True,True
102,"Peut-on accéder en ligne aux politiques clés, telles que celle sur les conflits d’intérêts ou la rémunération?",Oui," Non",False,False,False,False
103,La VL journalière des compartiments autres que monétaires est-elle visible sur le Web ?,Oui," Oui",True,True,True,True
104,Est-ce que le FCP a la possibilité de placer plus d’un cinquième de son actif dans des parts d’OPCVM ou de FIA ?,Oui," Non",False,False,False,False
105,Peut-on intégrer des OPCVM régis par le droit français dans la composition du portefeuille ?,Oui," Oui",True,True,True,True
106,L’usage de fonds professionnels spécialisés est-il permis dans ce cadre ?,Non," Oui",False,False,False,False
107,Les fonds nourriciers peuvent-ils faire partie des actifs éligibles ?,Non," Oui",False,False,False,False
108,Est-il permis d’exposer la totalité de l’actif net via des instruments dérivés ?,Oui," Oui",True,True,True,True
109,Ce fonds est-il concerné par une facturation liée à ses résultats excédentaires ?,Non," Non",True,True,True,True
110,Des commissions transactionnelles s’appliquent-elles aux mouvements d’actifs ?,Non," Non",True,True,True,True
111,La catégorie 1D entraîne-t-elle des coûts spécifiques lors d’ordres passés sur le marché primaire ?,Oui," Oui",True,True,True,True
112,Ce fonds Emerging Markets Sustainable Blended Debt Fund présente-t-il une exposition au risque associé à l’évaluation du crédit en Chine ?,Oui," Non",False,False,False,False
113,Le tableau fait-il apparaître une exposition du fonds European Equity Fund à un ou plusieurs des risques répertoriés ?,Oui," Non",False,False,False,False
114,Ce compartiment Global Multi-Asset Income Fund Global Multi-Asset présente-t-il une vulnérabilité en lien aux positions à découvert ?,Oui," Oui",True,True,True,True
115,Ce compartiment Global Total Return Credit Fund recourt-il à l’approche par engagements pour mesurer son exposition globale ?,Non," Oui",False,False,False,False
116,Le fonds Emerging Markets Hard Currency Debt Fund affiche-t-il un levier plus élevé que son équivalent en dette corporate ?,Non," Non",True,True,True,True
117,Les deux compartiments dédiés aux marchés émergents (le compartiment Emerging Markets Hard Currency Debt Fund et Emerging Markets Corporate Debt Fund ) présentent-ils un effet de levier équivalent ?,Yes," Oui",True,True,True,True
118,V/F : Les frais de la commission de gestion de la part J sont nuls dans les deux véhicules d’investissement concernés.,Vrai," V",True,True,True,True
119,"V/F : Dans le fonds Asian High Yield Bond Fund, la part D supporte une commission de gestion plus élevée que la part C.",Faux," V",False,False,False,False
120,Oui/Non : La commission de gestion appliquées à la part D dans le fonds Asian High Yield Bond Fund est-elle inférieure à 1 % ?,Oui," Oui",True,True,True,True
