id,question,answer,prediction,Qwen__Qwen3-32B,google__gemma-3-27b-it,meta-llama__Llama-3.3-70B-Instruct,majority_vote
37,Que comprennent les frais courants ?,"frais de gestion et de fonctionnement
frais d’exploitation immobilière"," frais de gestion et de fonctionnement, frais d'exploitation immobilière",True,True,True,True
38,L’OPCI applique-t-il une commission de performance ?,Oui," Oui, l’OPCI applique une commission de performance de 20% (HT) du 24% TTC de la différence entre la Valeur liquidative coupon réinvesti au 31/12/N et la valeur liquidative au 31/12/N-1,",True,True,True,True
39,Vrai / Faux : Les frais d’exploitation immobilière font partie des frais courants.,Vrai, Vrai,True,True,True,True
40,Vrai / Faux : Le total des frais courants dépasse 3 % de l’actif net.,Faux, Faux,True,True,True,True
41,Vrai / Faux : La commission de performance est systématiquement prélevée chaque année.,Faux, Faux,True,True,True,True
42,Est-ce que les frais peuvent varier d’une année sur l’autre ?,Oui," Oui, les frais peuvent varier d’une année sur l’autre, notamment en raison de la commission de performance qui dépend de la différence entre la valeur liquidative du coupon et la valeur liquidative du fonds, et qui est soumise à des conditions de déclenchement spécifiées dans le",True,True,True,True
43,Quels sont les frais courants annuels prélevés par l’OPCI ?," 2,190 % TTC de l’actif net","  
- Frais de gestion et de fonctionnement : 2,190 % TTC de l’actif net  
- Frais d’exploitation immobilière : 1,606 % TTC de l’actif net + 0,584 % TTC de l’act",False,False,False,False
44,Comment se décomposent les frais courants ?,"frais de gestion de fonctionnement        1,606 % TTC de l’actif net ; frais d’exploitation immobilière        0,584 % TTC de l’actif net"," Les frais courants se décomposent en :  
- frais de gestion et de fonctionnement : 2,190 % TTC de l’actif net  
- frais d’exploitation immobilière : 1,606 % TTC de l’actif net + 0,",False,False,False,False
45,L’OPCI applique-t-il une commission de performance ?,Oui," Oui, l’OPCI applique une commission de performance de 20% (HT) du 24% TTC de la différence entre la Valeur liquidative coupon réinvesti au 31/12/N et la valeur liquidative au 31/12/N-1,",True,True,True,True
46,Le montant des frais courants peut-il varier ?,Oui," Non, les frais courants sont fixes et ne varient pas.",False,False,False,False
47,Quel est le niveau de risque présenté dans ce tableau ?,6, 6,True,True,True,True
48,Y a-t-d'autres informations que le niveau de risque dans ce tableau ? ,Non," Non, seul le niveau de risque est indiqué.",True,True,True,True
49,Quels sont les frais d’entrée maximum applicables dans ce tableau?,2 % maximum, 2% maximum,True,True,True,True
50,Y a-t-il des frais de sortie ?,Non, Non,True,True,True,True
51,À combien s'élèvent les frais courants annuels prélevés par le FCPE ?,"1,87 % de l'actif net moyen"," 1,87% de l'actif net moyen",True,True,True,True
52,Le FCPE applique-t-il une commission de performance ?,Non, Non,True,True,True,True
53,Combien de catégories de parts le Fonds propose-t-il ?,6, 5,False,False,False,False
54,"Quelle est la valeur initiale des parts F, E et P ?",10 EUR, 10 EUR,True,True,True,True
55,Quelle part est spécifiquement liée aux réseaux du groupe Crédit Agricole ?,part PER CA, Part PER CA,True,True,True,True
56,Quelle est la nature de l’affectation du résultat pour toutes les parts ?,Capitalisation, Capitalisation,True,True,True,True
57,Quel est le code ISIN de Part PER CA ?,FR0014001B81, FR0014001B81,True,True,True,True
58,Quel est le code ISIN de Part ASSUREUR ?,FR0014001B99, FR0014001B99,True,True,True,True
59,Toutes les catégories de parts disposent-elles d’un code AMF ?,Oui, Oui,True,True,True,True
60,Quelle est la valeur initiale de la part E ?,10 EUR, 10 EUR,True,True,True,True
61,Existe-t-il dans ce tableau des parts avec une affectation du résultat en distribution ?,Non, Non,True,True,True,True
62,Vrai ou Faux ? Les parts E et F ont un Code AMF mais pas de Code ISIN.,Vrai, Vrai,True,True,True,True
63,Y a-t-il une commission de souscription ou de rachat appliquée ?,Non," Non, il n'y a ni commission de souscription ni commission de rachat appliquée.",True,True,True,True
64,Quel est le taux maximum des frais de gestion pour la part E ?,"1,10 % TTC"," 1,10 % TTC maximum",True,True,True,True
65,Sur quelle assiette sont prélevés les frais de gestion de la part E ?,Actif net, Actif net,True,True,True,True
66,Qui prend en charge les frais de gestion pour la part E ?,Entreprise, Entreprise,True,True,True,True
67,Quel est le taux maximum des frais de gestion pour la part F ?,"1,00 % TTC"," 1,00 % TTC maximum",True,True,True,True
68,Sur quelle base sont calculés les frais de la part F ?,Actif net, Actif net,True,True,True,True
69,À combien s’élèvent les frais de gestion maximum pour la part PER ?,"0,10 % TTC maximum"," 0,10 % TTC maximum",True,True,True,True
70,Qui supporte les frais de gestion de la part PER ?,Fonds, Fonds,True,True,True,True
71,Les frais de la part PER CA sont-ils à la charge de l’entreprise ou du Fonds ?,Fonds, Fonds,True,True,True,True
72,Qui prend en charge les frais liés à la part ASSUREUR ?,Fonds, Fonds,True,True,True,True
73,"Vrai ou Faux ? Les frais de gestion maximum pour AMUNDI ACTIONS INTERNATIONALES ESR - PER s’élèvent à 1,10 % TTC.",Faux, Faux,True,True,True,True
74,Vrai ou Faux ? Les frais liés à ESR - PER CA sont pris en charge par l’entreprise.,Faux, Faux,True,True,True,True
75,Quels sont les frais de gestion financière appliqués à la Part C ?,"0,40 % TTC maximum", 0 % TTC maximum,False,False,False,False
76,Quel est le taux maximum des frais indirects (commissions et frais de gestion) ?,"1,50 % TTC l'an maximum"," 1,50 % TTC par mois",False,False,False,False
77,Quel est le montant de la commission de mouvement qui peut être prélevées par le dépositaire ?,montant forfaitaire de 0 à 450 euros TTC selon la place, Montant forfaitaire de 0 à 450 euros TTC selon la place,True,True,True,True
78,Une commission de surperformance est-elle appliquée à la Part RETRAITE-C ?,Oui," Oui, une commission de surperformance de 20,00 % annuel de la performance au-delà de celle de l’actif de référence est appliquée à la Part RETRAITE-C.",True,True,True,True
79,Quel est le montant que vous pourriez obtenir après déduction des coûts si vous sortez après un an dans un scénario Favorable ?,11340 USD, 11.340 USD,False,True,True,True
80,Quel montant pourriez-vous obtenir après déduction des coûts si vous sortez après un an dans un scénario défavorable ?,8070 USD, 8.070 USD,True,True,True,True
81,"Quel montant pourriez-vous obtenir si vous avez investi pendant 5 ans ou plus dans un scénario Intermédiaire, après déduction des coûts ?",10840 USD, 10.840 USD,False,True,True,True
82,Quelle est la période de détention recommandée ?,3 ans, 3 ans,True,True,True,True
83,Existe t-il un rendement minimal garanti si l'investisseur sort avant 3 ans ?,Non," Non, il n’existe aucun rendement minimal garanti si vous sortez avant 3 ans.",True,True,True,True
84,Quel est le montant de l'investissement sur lequel se base le scénario de performance ?,10000 USD, 10.000 USD,True,True,True,True
85,Dans quelle monnaie les scénarios de performance ont ils présentés ?,USD, USD,True,True,True,True
86,Quels sont les coûts totaux associés à l'investissement si le produit est détenu pendant 1 an ?,170, $170,True,True,True,True
87,Quels sont les coûts totaux associés à l'investissement si le produit est détenu pendant 5 an ?,1340," $1,340",True,True,True,True
88,Quelle est la période de détention recommandée ?,5 ans, 5 ans,True,True,True,True
89,Quel est le coût réel du produit en termes de rendement perdu chaque année sur cinq ans en pourcentage?,"1,9%"," 1,9% chaque année",True,True,True,True
90,Quel est le pourcentage des frais d’entrée prélevé sur l’investissement ?,"0,0 %"," 0,0%",True,True,True,True
91,Le fonds peut-il imposer une commission de rachat à l’avenir ?,Oui," Oui, le fonds peut, à la discrétion des Administrateurs, imposer une commission de rachat pouvant atteindre 3 % du produit du rachat.",True,True,True,True
92,Quel est le montant maximum que le fonds pourrait facturer au titre d’une commission de rachat ?,pouvant atteindre 3 % du produit du rachat, 3 % du produit du rachat,True,True,True,True
93,Quel est le coût lié à l’achat et à la vente des investissements dans le portefeuille ?,"0,0 %"," 0,0%",True,True,True,True
94,Quels sont les autres frais récurrents facturés par le fonds ?,coûts de gestion, L'impact des coûts de gestion du Fonds chaque année.,False,True,True,True
95,"Que couvrent les frais courants indiqués à 1,7 % ?",Ils couvrent principalement les coûts de gestion du fonds., L'impact des coûts de gestion du Fonds chaque année.,False,True,True,True
96,À combien s’élèvent les autres frais récurrents facturés par le fonds ?,"1,7 %"," 1,7%",True,True,True,True
97,"Quels types d'actions sont disponibles pour le compartiment ""La Française Actions Euro Capital Humain"" ?",action F ; action R  ; action D ; action I," action F, action R, action D, action I",True,True,True,True
98,Quel est le code ISIN de l’action F ?,FR0012553584, FR0012053564,False,False,False,False
99,"Quelle est la valeur liquidative d’origine pour toutes les actions, sauf l’action I",100 EUR, 100 EUR,True,True,True,True
100,Quelle est la valeur liquidative d’origine de l’action I ?,"79,11 EUR"," 79,11 EUR",True,True,True,True
101,Quelle est la devise de libellé de ce compartiment ?,EUR, EUR,True,True,True,True
102,Comment sont affectés les revenus pour l'action D?,Distribution, Distribution et/ou report,False,False,False,False
103,Comment sont affectés les revenus pour l'action I?,Capitalisation, Capitalisation,True,True,True,True
104,Quelle est la politique d’affectation des plus-values pour le type d'action R ?,Capitalisation, Capitalisation,True,True,True,True
105,Qui peut souscrire aux types d'actions R et D?,Tous souscripteurs, Tous souscripteurs,True,True,True,True
106,"Qui peut souscrire à l’action F du compartiment ""La Française Actions Euro Capital Humain"" ?",réservée aux fonds gérés par les sociétés du Groupe la Française, Réservée aux fonds gérés par les sociétés du Groupe La Française,True,True,True,True
107,L’action F est-elle réservée à tous les souscripteurs ?,Non, Non,True,True,True,True
108,La valeur liquidative d’origine de l’action F est-elle de 100 EUR ?,Oui, Oui,True,True,True,True
109,L’action F est-elle libellée en devise EUR ?,Oui, Oui,True,True,True,True
110,Le montant minimum de souscription initiale pour l’action F est-il de 10 actions ?,Non, Oui,False,False,False,False
111,L’affectation des revenus de l’action F peut-elle inclure une distribution ?,Oui, Non,False,False,False,False
112,Vrai ou Faux : L’action F peut être souscrite par des investisseurs institutionnels externes au Groupe La Française.,Faux, Faux,True,True,True,True
113,"Vrai ou Faux : L’affectation des plus-values de l’action F peut être faite par capitalisation, distribution ou report.",Vrai, Vrai,True,True,True,True
114,Vrai ou Faux : La devise de libellé de l’action F est le dollar américain.,Faux, Faux,True,True,True,True
115,Vrai ou Faux : Le montant minimum de souscription pour l’action F est de 1 action.,Vrai, Vrai,True,True,True,True
116,Vrai ou Faux : L’affectation des revenus pour l’action F est strictement en capitalisation.,Faux, Faux,True,True,True,True
117,Quel est le code ISIN de la classe d'actions R C EUR ?,FR0013439817, FR0013439817,True,True,True,True
118,Quel est le montant minimum de souscription initiale pour la part R C EUR ?,Aucun, 100 EUR,False,False,False,False
119,La classe d’actions R C EUR est-elle destinée à tous les souscripteurs ?,Oui, Oui,True,True,True,True
120,Comment sont traités les revenus et les plus-values de la classe d’actions R C EUR ?,Capitalisation, Les revenus et les plus-values de la classe d’actions R C EUR sont traités par **capitalisation**.,True,True,True,True
121,En quelle devise est libellée la classe d’actions R C EUR ?,EUR, EUR,True,True,True,True
122,Quel est le code ISIN de la classe d’actions T D USD H ?,FR0013439924, FR0013439516,False,False,False,False
123,À qui s’adresse la classe d’actions T D USD H en termes de souscripteurs ?,Tous souscripteurs sans rétrocession aux distributeurs., Tous souscripteurs sans rétrocession aux distributeurs,True,True,True,True
124,Quelle classe d'actions nécessite une souscription minimale de 10 000 000 EUR ?,part S, action S EUR,False,True,True,True
125,Quelle est la politique de couverture de la classe d’actions I C USD H ?,"Les actions ""H"" couverte contre la devise de référence du compartiment peuvent être sur ou sous-couvertes durant certaines périodes", La couverture est systématique contre le risque de change de la devise de référence du fonds.,False,False,False,False
126,À qui est exclusivement réservée la classe d’actions S ?,Réservée à la Caisse Fédérale du Crédit Mutuel Nord Europe et aux sociétés du Groupe la Française, Réservée à la Caisse Fédérale du Crédit Mutuel Nord Europe et aux sociétés du Groupe La Française,True,True,True,True
127,La classe d’actions T C EUR est-elle éligible à la distribution de revenus ?,Non, Non,True,True,True,True
128,Quelles sont les heures limites pour centraliser les ordres de souscription et de rachat ?,avant 11h00, 11h00,True,True,False,True
129,Quand les règlements des souscriptions et des rachats sont-ils effectués ?,J+2 jours ouvrés, J+2 jours ouvrés,True,True,True,True
130,Quand la valeur liquidative est-elle publiée ?,J+1 jour ouvré, J+1 jour ouvré,True,True,True,True
131,Les actions peuvent-elles être fractionnées ?,Oui," Oui, chaque action peut être divisée en cent millièmes.",True,True,True,True
132,Quelle est la fourchette de sensibilité aux taux d’intérêt du fonds ?,de 9 à 0," de 9 à 0, décroissante au temps",True,True,False,True
133,Quels sont les pays d’origine des émetteurs publics des titres dans lesquels le fonds est exposé ?,Emetteurs publics OCDE et hors OCDE (y compris les pays émergents) , Pays de l'OCDE,False,False,False,False
134,Quels sont les pays d’origine des émetteurs privés hors OCDE des titres dans lesquels le fonds est exposé ?,Emetteurs privés hors OCDE (y compris les pays émergents)," Les émetteurs privés hors OCDE des titres dans lesquels le fonds est exposé proviennent de pays non membres de l'OCDE, avec une exposition de 0 à 50%.",False,True,False,False
135,Quelles sont les devises autorisées pour les investissements ?,EUR/ USD/ GBP/ NOK/ CHF/ SEK/ CAD/ DKK, EUR/USD/GBP/NOK/CHF/SEK/CAD/DKK,True,True,True,True
136,Le fonds est-il exposé au risque de change ?,Oui," Oui, le fonds est exposé au risque de change, avec un niveau de couverture résiduel de 40 à 100 % sur les positions en devises.",True,True,True,True
137,Comment le risque de change est-il géré ?,couverture imparfaite des positions en devises., Résiduel dû à une couverture imparfaite des positions en devises.,True,True,True,True
138,Quelle est la base de calcul des frais de gestion financière ?,Les frais de gestion financière sont calculés sur l’actif net, Actif net,True,True,True,True
139,Quels sont les taux maximum de frais de gestion appliqués aux catégories d'actions I et T ? ,"0,59 % TTC"," 0,59% TTC taux maximum",True,True,True,True
140,Existe-t-il des frais indirects maximum facturés à l’OPCVM ?,Non," Non, il n'y a pas de frais indirects maximum facturés à l’OPCVM.",True,True,True,True
141,Quels sont les taux de commissions de mouvement pour les Obligations convertibles et les Swaps ?,"Obligations convertibles : 0,05 % (avec un minimum de 100 €) ; waps : 0,010 %, (avec un minimum de 150 €, max. 600 €)","  
- Obligations convertibles : 0,05% (avec un minimum de 100€)  
- Swaps : 0,010% (avec un minimum de 150€ et un maximum de 600€)",True,True,True,True
142,Les commissions de mouvement s’appliquent-elles à chaque transaction ?,Oui," Oui, les commissions de mouvement s’appliquent à chaque transaction.",True,True,True,True
143,Quels sont les frais associés aux swaps à partir du 2 novembre 2021 ?,"0,010 %, (avec un minimum de 150 € et un maximum de 600 €)"," 0,010% (avec un minimum de 150€ et un maximum de 600€)",True,True,True,True
144,Quel est le taux de commission appliqué aux autres obligations après le 2 novembre 2021 ?,"0,035 % (avec un minimum de 100 €)"," 0,035% (avec un minimum de 100€)",True,True,True,True
145,Quels sont les frais appliqués aux opérations de change à terme après le 2 novembre 2021 ?,"0,010 % ( avec un minimum de 75 € et un maximum de 300 €)"," 0,010% (avec un minimum de 75€ et un maximum de 300€)",True,True,True,True
146,Quel montant est appliqué pour une transaction sur un OPC ?,15, 15€,True,True,True,True
147,Quels sont les frais forfaitaires appliqués pour les futures avant le 2 novembre 2021 ?,Futures : 6 €," 2,5€",False,False,False,False
148,Quel est l’objectif principal du fonds CONSTANCE BE AMERICA ?,Le FCP a pour objectif la recherche d’une surperformance par rapport à l’indice S&P 500 INDEX représentant l’évolution des marchés d’actions nord-américaines sur la durée de placement recommandée., Le FCP a pour objectif de rechercher une surperformance par rapport à l'indice S&P 500 INDEX représentant l'évolution des actions des sociétés américaines sur la durée de placement recommandée.,True,True,True,True
149,À quelle catégorie appartient ce FCP ?,Le FCP est classé « Actions internationales », Actions internationales,True,True,True,True
150,Quelle est le niveau d'exposition du portefeuille en actions nord-américaines ?,Le FCP est exposé à hauteur de 90 % minimum en actions d'émetteurs nord-américains., 90% à 100%,False,True,True,True
151,Quelle est la fourchette d'exposition en actions de sociétés domiciliées au Canada ?,de 0% à 25% maximum, de 0 % à 100 %,False,False,False,False
152,Quelle est la durée minimum de placement recommandée ?,Supérieure à 10 ans, Supérieure à 10 ans.,True,True,True,True
153,quel moment les ordres de souscription et de rachat sont-ils centralisés ?,Chaque jour ouvré avant 17 heures (J-1).," Les ordres de souscription et de rachat sont centralisés avant 17 heures, chaque jour ouvré (J-1), à l'exception des jours fériés légaux en France et des jours de fermeture des marchés nord-américains (États-Unis",False,False,False,False
154,Le fonds peut-il être exposé au risque de change hors USD ?,Oui," Oui, le fonds peut être exposé au risque de change hors USD, car il est indiqué que ""le FCP est géré en Change hors US dollar"" et qu'il peut être exposé à des risques de change liés à des actifs en devises autres que le dollar américain",True,True,True,True
155,Qui est la société de gestion du fonds CONSTANCE BE AMERICA ?,Ce FCP est géré par Constance Associés, A/USO,False,False,False,False
156,Quel est le code ISIN du fonds CONSTANCE BE AMERICA - Part A/USD ?,FR0011271576, FR0011271576,True,True,True,True
157,Vrai ou Faux : Le fonds peut être entièrement exposé au risque de change hors dollar américain.,Vrai, Vrai,True,True,True,True
158,Y a-t-il des frais d'entrée ou de sortie pour ce fonds ?,Non," Non, il n'y a ni frais d'entrée ni frais de sortie.",True,True,True,True
159,Quel est le montant des frais courants prélevés par le fonds sur une année ?,"2,44% TTC"," 2,44% TTC",True,True,True,True
160,Le fonds applique-t-il une commission de surperformance ?,Non, Non,True,True,True,True
161,Vrai ou Faux : Le fonds facture une commission de surperformance en cas de rendement élevé.,Faux, Faux,True,True,True,True
162,Quelle est la catégorie de risque attribuée à ce fonds dans le tableau ?,6, 6,True,True,True,True
163,Que signifie une notation de 6 sur l’échelle de risque ?,"Cela indique un niveau de risque élevé, mais aussi un potentiel de rendement plus élevé. "," Risque plus élevé, rendements habituellement plus élevés.",True,True,True,True
164,Quels sont les frais d'entrée si des actions en bourse ?,"1,00 %", 2.00 %*,False,False,False,False
165,Quel est le pourcentage maximum des frais d’entrée ?,"2,00 % maximum", 2.00 %,True,True,True,True
166,À combien s’élèvent les frais courants prélevés chaque année sur le Fonds ?,"0,20 % par an", 0.20 %,True,True,True,True
167,Quel est le montant des frais d’entrée si les actions sont négociées en bourse ?,0 %, 2.00 %,False,False,False,False
168,Vrai ou Faux : Les frais d’entrée peuvent atteindre 2 %.,Vrai, Vrai,True,True,True,True
169,Vrai ou Faux : Les frais courants du Fonds sont de 1 %.,Faux, Faux,True,True,True,True
170,Vrai ou Faux : Une commission de performance est prélevée par le Fonds.,Faux, Faux,True,True,True,True
171,Vrai ou Faux : Les frais de sortie peuvent atteindre 1 %.,Vrai, Vrai,True,True,True,True
172,"Vrai ou Faux : Les frais d’entrée sont toujours appliqués, même en cas de négociation en bourse.",Faux, Faux,True,True,True,True
173,Oui ou Non : Les frais courants sont facturés chaque année.,Oui, Oui,True,True,True,True
174,Oui ou Non : Des frais d’entrée sont appliqués si les actions sont négociées en bourse.,Non, Non,True,True,True,True
175,Oui ou Non : Les frais de sortie peuvent être de 0 % dans certains cas.,Oui, Oui,True,True,True,True
176,Quel est le montant maximum des frais d’entrée ?,"2,00 %", 2.00%,True,True,True,True
177,Des frais sont-ils prélevés à la sortie ?,Oui," Oui, des frais de sortie de 1.00% sont prélevés.",False,True,True,True
178,À combien s’élèvent les frais courants ?,"2,39 % par an", 2.39%,True,True,True,True
179,Une commission de performance est-elle applicable ?,Oui," Oui, une commission de performance est applicable. Elle s'élève à 20% au-delà de l'indice de référence SBF 120 si la performance est positive, et à 0,00% au titre de la dernière période de référence.",True,True,True,True
180,Y a-t-il eu des commissions de performance sur la dernière période de référence ?,Non, Non,True,True,True,True
181,Quel est le nom de la classe d’actions décrite dans ce tableau ?,Action A, ACTION A,True,True,True,True
182,Quel est l’indice de référence utilisé pour évaluer la performance du fonds PLUVALCA ALLCAPS – Action A ?,SBF 120, SBF 120,True,True,True,True
183,À quoi sert l’indice de référence dans le calcul de la commission de performance ?,Il sert de base de comparaison : une commission de performance de 20 % est prélevée uniquement si la performance du fonds dépasse celle du SBF 120 et qu’elle est positive.," L'indice de référence SBF 120 sert de référence pour déterminer si la performance est positive, ce qui conditionne le paiement de la commission de performance.",True,True,True,True
184,Quel est le montant des frais d’entrée pour cet OPCVM ?,"2,5 % maximum"," 2,5 %",True,True,True,True
185,Des frais de sortie sont-ils appliqués ?,Non," Non, les frais de sortie ne sont pas appliqués.",True,True,True,True
186,Quel est le pourcentage des frais courants ?,"3,66 % TTC de l’actif net, basés sur l’exercice clos au 31/12/2018"," 11,96 %",False,False,False,False
187,Où peut-on trouver plus de détails sur les frais ?,Dans la section « Frais » du prospectus de l’OPCVM disponible sur le site www.ferrigestion.fr., www.fonsgestion.fr,False,False,False,False
188,Quel est le taux maximum des frais de gestion financière pour chaque type de part ?,"Part R : 2,20 % TTC ; Part F : 1,10 % TTC ; Part I : 0,90 % TTC ; Part M : 0,60 % TTC","  
- Part R : 2,20% TTC  
- Part F : 1,10% TTC  
- Part I : 0,90% TTC  
- Part M : 0,60% TTC",True,True,True,True
189,Quel est le taux maximum des frais de fonctionnement et autres services ?,"0,17 %"," 0,17% TTC",False,True,True,True
190,Quel est le montant maximum des commissions de mouvement allouées au dépositaire/conservateur ?,De 0 à 115 € TTC, 0 à 115 € TTC,True,True,True,True
191,Quel est le mode de calcul de la commission de surperformance ?,"15 % de la surperformance réalisée au-delà de l’indice EURO STOXX® Net Return EUR.

Cette commission est variable, contingente à une performance positive du fonds, et calculée indépendamment pour chaque classe de part."," Le calcul de la commission de surperformance correspond à des frais variables, et est contingente à la réalisation par le Fonds d'une performance positive sur l'exercice et supérieure à celle de son indice de référence sur la période d'observation. Le calcul de la commission de surperformance s'effect",False,True,True,True
192,A combien s'élèvent les commissions de mouvement allouées à la société de gestion ?,"De 0 % à 0,18 % TTC du brut de la négociation"," De 0 à 0,16% TTC du brut de la négociation",False,False,False,False
193,Quel est l’indice de référence utilisé pour calculer la commission de surperformance du fonds ?,EURO STOXX® Net Return EUR, EURO STOXX® Net Return EUR,True,True,True,True
194,En quelle année une commission de performance a-t-elle été prélevée ?,année 1 ; année 5, Année 1 et Année 5,True,True,True,True
195,"Pourquoi aucune commission de performance n’a été prélevée en année 2, alors que le Fonds a surperformé l’indice ?","Parce que la performance absolue du Fonds était négative (-4%).
La commission n’est prélevée que si la performance est à la fois supérieure à celle de l’indice ET positive."," Parce que la performance du Fonds est négative, bien qu’il ait surperformé l’indice de référence.",True,True,True,True
196,Une nouvelle période d'observation a t-elle été créé en Année 2 ?,Oui," Oui, une nouvelle période d'observation débute en année 2.",True,True,True,True
197,Une nouvelle période d'observation a t-elle été créé en Année 4 ?,Non, Non,True,True,True,True
198,Quel est le terme faisant référence à un fonds de comparaison théorique mentionné ici?,fonds fictif, Indice de référence,False,False,False,False
199,Qui sont les administrateurs du fonds ?,Ian Dyble ; Carl O’Sullivan ;  Peter Sandys ; Matteo Candolfini ; Jane Challice," Ian Dyble, Carl O'Sullivan, Peter Sandys, Matteo Candiofini, Jane Challice",False,True,False,False
200,Quelle est l’adresse du siège social de la société ?,"10 Earlsfort Terrace, Dublin 2, Irlande."," 10 Earlsfort Terrace, Dublin 2, Irlande",True,True,True,True
201,Où se trouve le dépositaire du fonds ?,"J.P. Morgan SE, Dublin Branch, 200 Capital Dock, 79 Sir John Rogerson’s Quay, Dublin 2, Irlande."," Dublin 2, Irlande",True,False,True,True
202,Quel est le nom de l’agent administratif ?,J.P. Morgan Administration Services (Ireland) Limited., J.P. Morgan Administration Services (Ireland) Limited,True,True,True,True
203,Qui sont les conseillers en investissement par délégation ?,Janus Henderson Investors US LLC (« JHIUS ») Intech Investment Management LLC (« Intech »), Janus Henderson Investors US LLC (« JHIUS ») et Intech Investment Management LLC (« Intech »),True,True,True,True
204,Quel cabinet fournit les services juridiques ?,Arthur Cox LLP, Arthur Cox LLP,True,True,True,True
205,Vrai ou Faux : L’agent de transfert est situé à Dublin.,Vrai, Vrai,True,True,True,True
206,Vrai ou Faux : Le dépositaire du fonds est situé à Londres.,Faux, Faux,True,True,True,True
