id,question,answer,prediction,meta-llama__Llama-3.3-70B-Instruct,Qwen__Qwen3-32B,google__gemma-3-27b-it,majority_vote
55,Quelle a été la meilleure année pour le fonds Apprecio E entre 2011 et 2020 ?,2012,"
La meilleure année pour le fonds Apprecio E entre 2011 et 2020 a été 2019 avec une performance de 11,7%.",False,False,False,False
56,En quelle année le fonds a-t-il enregistré sa pire performance ?,2018, 2018,True,True,True,True
57,Le fonds Apprecio E a-t-il surperformé l’indicateur de référence en 2017 ?,Oui, Non,False,False,False,False
58,"En 2019, le fonds a-t-il enregistré une performance supérieure à 5 % ?",Oui, Oui,True,True,True,True
59,Quelle est la seule année où la performance du fonds et celle de l’indice sont quasiment identiques ?,2017, 2014,False,False,False,False
60,Comment est calculée la performance du fonds Apprecio E ?,"coupons nets réinvestis, et nette de frais de gestion directs et indirects et hors frais d’entrée et de sortie"," La performance du fonds Apprecio E est calculée par rapport à l'indicateur de référence qui est composé pour l'Eona et FEMTX Global, dividendes réinvestis pour l'indice MSCI WORLD.",False,False,False,False
61,Quand a été créé le fonds Apprecio E ?,28/04/2006,"
Le fonds Apprecio E a été créé le 30 juin 2012.",False,False,False,False
62,Quel changement au niveau du dépositaire est survenu durant la période présentée ?,changement de société de gestion de VP FINANCE GESTION à WiseAM et de dépositaire de Banque Leonardo à Crédit Industriel et Commercial (CIC),"
Le dépositaire a changé de la Banque Leonardo à Crédit Industriel et Commercial (CIC).",True,True,True,True
63,Quel changement au niveau de la société de gestion est survenu durant la période présentée ?,changement de société de gestion de VP FINANCE GESTION à WiseAM,"
Le changement de société de gestion de VP FINANCE GESTION à Wiselux et de dépositaire de Banque Leumi à Crédit Industriel et Commercial (CIC).",False,False,False,False
64,En quelle année la part A-EUR du fonds a-t-elle enregistré sa meilleure performance annuelle ?,2013,"
2012",False,False,False,False
65,Quelle a été la pire performance du fonds entre 2011 et 2020 ?,2018,"
La pire performance du fonds entre 2011 et 2020 a été en 2018 avec -2,18%.",True,True,True,True
66,Quelle est la performance du fonds en 2020 ?,"22,72%"," 23,27%",False,False,False,False
67,Y a-t-il une année où le fonds a enregistré une performance proche de zéro ?,Oui," Oui, en 2016.",False,True,True,True
68,Comment la performance du fonds est-elle calculée ?,coupons nets réinvestis et hors frais d’entrée, La performance du fonds est calculée coupons nets réinvestis et hors frais d'entrée.,True,True,True,True
69,Quelle est la devise utilisée pour calculer les performances ?,euro,"
euro",True,True,True,True
70,Depuis quand la part A-EUR du fonds existe-t-elle ?,1er décembre 2006, 1er décembre 2006,True,True,True,True
71,Le fonds est-il comparé à un indice de référence dans ce document ?,Non, Oui,False,False,False,False
72,"Quel est le nom complet du fonds figurant dans la rubrique “Performances passées”, et à quelle classe de part correspond-il ?",Varenne Selection part A-EU," Le nom complet du fonds est ""Varenne Sélection"" et il correspond à la classe de part A-EUR.",True,True,True,True
73,À combien s’élève le taux de commission de surperformance dans cet exemple ?,20 %,"
Le taux de commission de surperformance dans cet exemple s'élève à 15%.",False,False,False,False
74,Le mécanisme de clawback a-t-il empêché la facturation d'une commission en année 9 ?,Oui, Oui,True,True,True,True
75,Y a t-il eu un commission de surperformance à payer en année 3 ?,Non, Oui,False,False,False,False
76,"En année 6, le fonds a-t-il récupéré toute sa sous-performance ?",Non, Oui,False,False,False,False
77,En quelle année une sous-performance de -10 % est enregistrée ?,Y8,"
2017",False,False,False,False
78,En quelle année la performance du fonds est-elle tombée à -5 % ?,Y3, 2017,False,False,False,False
79,Quelle est la performance du fonds en année 1 ?,5 %,"
La performance du fonds en année 1 est de 10,7%.",False,False,False,False
80,Une  commission de performance est-elle dûe la sixième année ?,Oui, Oui,True,True,True,True
81,En quelle(s) année(s) observe-t-on un prélèvement de frais de surperformance ?,Année 2 ; Année 5,"
Année 2 et Année 5",True,True,True,True
82,"En année 3, y a-t-il une commission de surperformance prélevée ?",Non, Oui,False,False,False,False
83,"En année 4, la performance dépasse-t-elle le Hurdle ?",Oui,"
Oui",True,True,True,True
84,"À partir de l'année 3, à quel moment la VNI nette repasse t-elle au-dessus du HWM ?",Année 5,"
À l'année 5.",True,True,True,True
85,Que représente la courbe rouge ?,VNI (après frais de surperformance),"
VNE avant flux de surperformance",False,False,False,False
86,Quel modèle de commission de surperformance est illustré dans ce graphique ?,modèle avec HWM 5Y, Le modèle de commission de surperformance illustré dans ce graphique est le modèle avec HWM 5Y.,True,True,True,True
87,La VNI nette à la fin de l’année 5 est-elle de plus de 105 ?,Oui, Oui,True,True,True,True
88,En quelle année le fonds a-t-il réalisé sa meilleure performance ?,2016,"
2016",True,True,True,True
89,Combien d’années le fonds a-t-il surperformé l’indice MSCI World ?,4, 4,True,True,True,True
90,Quelle a été la performance du fonds en 2020 ?,"3,4%"," 14,1%",False,False,False,False
91,Quelle année montre le plus grand écart de performance entre le fonds et l’indice ?,2019, 2016,False,False,False,False
92,Quelles sont les années pendant lesquelles le fonds a eu une performance négative ?,2011 ; 2014 ; 2015 ; 2018," 2011, 2014, 2016, 2018.",False,False,False,False
93,En quelle année le fonds a-t-il le plus sous-performé l’indice ?,2019,"
2014",False,False,False,False
94,En quelle année le fonds a le plus surperformé l’indice ?,2016,"
2012",False,False,False,False
95,En quelle année l’indice a le plus surperformé le fonds ?,2019,"
2015",False,False,False,False
96,Combien de fois le fonds a-t-il eu une performance supérieure à 20 % ?,2," 3 fois (2012, 2013, 2015).",False,False,False,False
97,Combien d’années le fonds a-t-il affiché une performance positive ?,7, 6,False,False,False,False
98,En quelle année la différence de performance entre le fonds et l’indice est la plus faible en % ?,2017,"
2014",False,False,False,False
99,Combien de fois le fonds a-t-il affiché une performance inférieure à -10 % ?,3, 2 fois (2014 et 2018).,False,False,False,False
100,Quelle est la part des investissements durables dans le total des investissements ?,"80,00 %","
La part des investissements durables dans le total des investissements est de 98 %.",False,False,False,False
101,A combien s'élève la part des investissements non durables ?,"20,00 %", 42 M€,False,False,False,False
102,"Parmi les investissements durables, quelle part est allouée aux critères environnementaux ?","0,00 %", 68%,False,False,False,False
103,Les investissements durables incluent-ils une composante sociale ?,Non, Oui,False,False,False,False
104,Peut-on considérer que les investissements ont un objectif environnemental ou social ?,Non," Non, les investissements n'ont ni objectif environnemental (0,00%) ni objectif social (0,00%).",True,True,True,True
105,"Quel est le niveau d’alignement des investissements avec la taxonomie européenne, obligations souveraines incluses ?","0,00 %"," Le niveau d’alignement des investissements avec la taxonomie européenne, obligations souveraines incluses, est de 0,00%.",True,True,True,True
106,L’exclusion des obligations souveraines modifie-t-elle le niveau d’alignement avec la taxonomie ?,Non," Non, l'exclusion des obligations souveraines ne modifie pas le niveau d'alignement avec la taxonomie, car dans les deux graphiques, le niveau d'alignement est de 0,00%.",True,True,True,True
107,"Quelle est la part des investissements classés comme ""autres investissements"" dans les deux graphiques en camembert ?","100,00 %","
Dans les deux graphiques en camembert, la part des investissements classés comme ""autres investissements"" est de 100,00%.",True,True,True,True
108,Vrai ou Faux ? Les investissements du portefeuille sont alignés à 50 % sur la taxonomie européenne.,Faux, Faux,True,True,True,True
109,"Vrai ou Faux ? Le portefeuille présente un alignement de 0,00 % avec la taxonomie, obligations souveraines incluses.",Vrai, Vrai,True,True,True,True
110,La part d’investissements alignés sur la taxonomie augmente lorsque l’on exclut les obligations souveraines. Vrai ou Faux ?,Faux, Vrai,False,False,False,False
111,"Tous les investissements sont classés comme ""autres investissements"" dans les deux graphiques. Vrai ou Faux ?",Vrai, Vrai,True,True,True,True
112,Vrai ou Faux ? Le graphique permet de conclure que les critères environnementaux ne sont pas respectés par le portefeuille. ,Vrai, Vrai,True,True,True,True
113,Quelle a été la performance du fonds en 2018 ?,"-10,63 %"," 14,4%",False,False,False,False
114,En quelle année le fonds a-t-il eu une performance négative ?,2018, 2018,True,True,True,True
115,En quelle année le fonds a t-il eu sa meilleure performance ?,2019, 2019,True,True,True,True
116,Vrai ou Faux ? La performance du fonds a toujours été positive entre 2017 et 2021.,Faux, Faux,True,True,True,True
117,Y a t-il une performance inscrite pour l'année 2021 dans le graphique ?,Non,"
Non",True,True,True,True
118,Quel est le nom du produit dont on étudie les performances passées ?,Opéra Première Symphonie C EUR,"
Opéra Première Symphonie C EUR",True,True,True,True
119,Quelle a été la performance du fonds CD France Expertise en 2018 ?,"-2,0 %","
La performance du fonds CD France Expertise en 2018 a été de -10,2%.",False,False,False,False
120,"En 2020, le fonds a-t-il mieux résisté que son indice de référence ?",Oui," Oui, en 2020, le fonds a mieux résisté que son indice de référence, avec une performance de -7,5% contre -15,8% pour le CAC 40 NR.",True,True,True,True
121,Combien d’années le fonds a-t-il enregistré une performance supérieure à celle de son indice ?,6, 4,False,False,False,False
122,Quelles sont les années pendant lesquelles le fonds a eu une performance supérieure à celle de son indice ?,2011 ; 2014 ; 2015 ; 2017 ; 2018 ; 2020,"
Les années pendant lesquelles le fonds a eu une performance supérieure à celle de son indice sont 2011, 2012, 2013, 2014, 2015, 2016, 201",False,False,False,False
123,Comment les performances sont-elles calculées pour le fonds,Les performances de CD France Expertise présentées ici sont calculées revenus nets réinvestis et après déduction de tous les frais du fonds,"
Les performances de l'indicateur de référence sont calculées dividendes réinvestis.",False,False,False,False
124,Comment les performances sont-elles calculées pour l’indice ?,Les performances de l'indicateur de référence sont calculées dividendes réinvestis,"
Les performances de l’indicateur de référence sont calculées dividendes réinvestis.",True,True,True,True
125,Quelle a été la performance du fonds FCP AGA Capital Plus en 2021 ?,"14,03 %","
La performance du fonds FCP AGA Capital Plus en 2021 a été de 14,03%.",True,True,True,True
126,Quelle est l’année où le fonds a enregistré sa meilleure performance parmi celles affichées ?,2021, 2021,True,True,True,True
127,Quelle a été la performances de l'indice MSCI EMU Net Return  en 2020 ?,-0.01," 2020 a vu une performance de -7,0% pour l'indice MSCI EMU Net Return.",False,False,False,False
128,Quelle a été la performance la plus élevée de l’OPCVM sur la période 2015–2021 ?,"12,56 %"," La performance la plus élevée de l’OPCVM sur la période 2015–2021 a été de 12,4% en 2017.",False,False,False,False
