id,context,question,answer,prediction,evaluation
11,"L'Aberdeen Standard SICAV I est agréée au Luxembourg et réglementée par la Commission de Surveillance du Secteur Financier (CSSF) en vertu de la loi UCITs de 2010. Les informations clés pour l'investisseur ici fournies sont exactes et à jour au 12/11/2021.
Aberdeen Standard Investments Luxembourg S.A. est agréée au Luxembourg et réglementée par la CSSF et a son siège social au 35a avenue John F. Kennedy, L-1855
Luxembourg, Grand-Duché de Luxembourg.",Quelle est la date de la dernière mise à jour de ce KIID ?,2021-12-11T00:00:00, 12/11/2021,True
12,"Les performances passées ne préjugent pas des performances futures.
Le rendement est net de frais et ne tient pas compte des frais d'entrée, de sortie ou de transfert, mais il tient compte des frais courants, comme
l'indique le chapitre Frais.
La performance est calculée en EUR.
Le fonds a été lancé en 1989. La catégorie d'actions/de parts a été lancée en 2005.
Objectif de performance -S&P Global Natural Resources, NAV Hedged to EUR.",Quelle est la date de lancement de ce fond?,1989, 1989,True
13,"PERFORMANCES PASSÉES
World Resources Equity Fund, S Acc Hedged EUR Actions, 31 décembre 2020

Rendements %

Les performances passées ne préjugent pas des performances futures.
Le rendement est net de frais et ne tient pas compte des frais d'entrée, de sortie ou de transfert, mais il tient compte des frais courants, comme l'indique le chapitre Frais.
La performance est calculée en EUR.
Le fonds a été lancé en 1989. La catégorie d'actions/de parts a été lancée en 2005.
Objectif de performance -S&P Global Natural Resources, NAV Hedged to EUR.

Fonds (Net)
Objectif de performance - Voir le descriptif",Quelle est la date de lancement de la catégorie d'actions ou de parts?,2005, 2005,True
14,"Informations clés pour l'investisseur
Ce document fournit des informations essentielles aux investisseurs de ce fonds. Il ne s'agit pas d'un document promotionnel. Les informations qu'il
contient vous sont fournies conformément à une obligation légale, afin de vous aider à comprendre en quoi consiste un investissement dans ce
fonds et quels risques y sont associés. Il vous est conseillé de le lire pour décider en connaissance de cause d'investir ou non.
World Resources Equity Fund, un compartiment libellé en dollars américains du fonds Aberdeen Standard SICAV I, classe d'Actions S Acc
Hedged EUR (ISIN : LU0505784883). Ce fonds est géré par Aberdeen Standard Investment Luxembourg S.A.",Comment sait-on qu'il s'agit d'un document de type KIID ?,Informations clés pour l'investisseur," Il s'agit d'un document de type KIID car il fournit des informations essentielles aux investisseurs conformément à une obligation légale, avec un format standardisé destiné à aider les investisseurs à comprendre l'investissement et les risques associés, sans être promotionnel",False
15,"World Resources Equity Fund, un compartiment libellé en dollars américains du fonds Aberdeen Standard SICAV I, classe d'Actions S Acc
Hedged EUR (ISIN : LU0505784883). Ce fonds est géré par Aberdeen Standard Investment Luxembourg S.A.",Quel est l'identifiant du produit financier présente dans ce texte ?,LU0505784883, LU0505784883,True
16,"Produits dérivés et techniques
- Les instruments dérivés ne sont utilisés qu'à des fins de couverture ou pour établir les expositions qui pourraient être obtenues en investissant dans les actifs dans lesquels le Fonds est principalement investi.
L'utilisation de produits dérivés est contrôlée afin de veiller à ce que le fonds ne soit pas exposé à des risques excessifs ou involontaires.
Les investisseurs du fonds peuvent acheter et vendre des actions n'importe quel jour de bourse (tel que défini dans le Prospectus).
Si vous investissez dans des actions de revenu, vous recevrez le revenu des placements dans le fonds. Si vous investissez dans des actions de capitalisation, le revenu sera ajouté à la valeur de vos actions.
Recommandation : le fonds peut ne pas convenir aux investisseurs qui prévoient retirer leur argent dans les cinq ans. Les investisseurs devraient s'assurer que leur attitude face au risque est conforme au profil de risque de ce fonds avant d'investir.",Quelle est la période de détention recommandée pour cet investissement ?,cinq ans, Plus de cinq ans,False
17,"Ce document fournit des informations essentielles aux investisseurs de ce fonds. Il ne s'agit pas d'un document promotionnel. Les informations qu'il contient vous sont fournies conformément à une obligation légale, afin de vous aider à comprendre en quoi consiste un investissement dans ce fonds et quels risques y sont associés. Il vous est conseillé de le lire pour décider en connaissance de cause d'investir ou non.
World Resources Equity Fund, un compartiment libellé en dollars américains du fonds Aberdeen Standard SICAV I, classe d'Actions S Acc
Hedged EUR (ISIN : LU0505784883). Ce fonds est géré par Aberdeen Standard Investment Luxembourg S.A.

OBJECTIFS ET POLITIQUE D'INVESTISSEMENT

Objectif de l'investissement

Le Fonds vise à combiner croissance et revenu en investissant dans des entreprises cotées sur les marchés boursiers internationaux.
Le Fonds a pour objectif d'enregistrer une performance supérieure (avant frais) à celle de l'indice de référence, le S&P Global Natural Resources (USD).

Politique d'investissement

Titres en portefeuille
- Le Fonds investit au moins deux tiers de son actif dans les actions et titres de participation d'entreprises œuvrant dans l'extraction, la production, la transformation et le négoce de produits chimiques, de matériaux de construction, de métaux et autres matières premières, de bois et de produits de papier, de conteneurs et d'emballages, ainsi que d'entreprises du secteur des ressources énergétiques, qui sont cotées
sur les marchés boursiers internationaux.

Processus de gestion
- Le Fonds est géré activement.
- L'indice de référence est utilisé comme référence pour la construction du portefeuille et pour définir les contraintes de risque.
- Pour atteindre son objectif, le Fonds prendra des positions dont la pondération s'écarte de l'indice de référence ou investira dans des titres qui ne sont pas inclus dans l'indice de référence. Les investissements du
Fonds et leur pondération peuvent être très différents de ceux qui composent l'indice.
- En raison de la nature active du processus de gestion, le profil de performance du Fonds peut s'écarter sensiblement de celui de l'indice de référence sur le long terme.
- ASI intègre les considérations environnementales, sociales et de gouvernance (ESG) au processus d'investissement. Les détails de l'approche d'intégration des facteurs ESG pour l'investissement en actions sont publiés sur www.aberdeenstandard.com sous « Responsible Investing » (Investissement responsable).",Quelle est la forme juridique de ce fond ?,SICAV, SICAV,True
18,"- Le Fonds investit au moins deux tiers de son actif dans les actions et titres de participation d'entreprises œuvrant dans l'extraction, la production, la transformation et le négoce de produits chimiques, de matériaux de construction, de métaux et autres matières premières, de bois et de produits de papier, de conteneurs et d'emballages, ainsi que d'entreprises du secteur des ressources énergétiques, qui sont cotées sur les marchés boursiers internationaux.",Dans quels instruments financiers le fond investit-il?,actions et titres de participation d'entreprises," Le fond investit dans les actions et titres de participation d'entreprises cotées sur les marchés boursiers internationaux, opérant dans les secteurs des produits chimiques, matériaux de construction, métaux, matières premières, bois, produits de papier, contene",True
19,"- Les instruments dérivés ne sont utilisés qu'à des fins de couverture ou pour établir les expositions qui pourraient être obtenues en investissant dans les actifs dans lesquels le Fonds est principalement investi.
L'utilisation de produits dérivés est contrôlée afin de veiller à ce que le fonds ne soit pas exposé à des risques excessifs ou involontaires.
Les investisseurs du fonds peuvent acheter et vendre des actions n'importe quel jour de bourse (tel que défini dans le Prospectus).
Si vous investissez dans des actions de revenu, vous recevrez le revenu des placements dans le fonds. Si vous investissez dans des actions de capitalisation, le revenu sera ajouté à la valeur de vos actions.
Recommandation : le fonds peut ne pas convenir aux investisseurs qui prévoient retirer leur argent dans les cinq ans. Les investisseurs devraient s'assurer que leur attitude face au risque est conforme au profil de risque de ce fonds avant d'investir.",Quels instruments financiers sont utilisés à des fins de couverture ?,dérivés, Les instruments dérivés sont utilisés à des fins de couverture.,True
20,"Processus de gestion
- Le Fonds est géré activement.
- L'indice de référence est utilisé comme référence pour la construction du portefeuille et pour définir les contraintes de risque.
- Pour atteindre son objectif, le Fonds prendra des positions dont la pondération s'écarte de l'indice de référence ou investira dans des titres qui ne sont pas inclus dans l'indice de référence. Les investissements du
Fonds et leur pondération peuvent être très différents de ceux qui composent l'indice.
- En raison de la nature active du processus de gestion, le profil de performance du Fonds peut s'écarter sensiblement de celui de l'indice de référence sur le long terme.
- ASI intègre les considérations environnementales, sociales et de gouvernance (ESG) au processus d'investissement. Les détails de l'approche d'intégration des facteurs ESG pour l'investissement en actions sont publiés sur www.aberdeenstandard.com sous « Responsible Investing » (Investissement responsable).",Est-ce que le Fonds est géré activement ou passivement?,géré activement, Le Fonds est géré activement.,True
21,"L'Aberdeen Standard SICAV I est agréée au Luxembourg et réglementée par la Commission de Surveillance du Secteur Financier (CSSF) en vertu de la loi UCITs de 2010. Les informations clés pour l'investisseur ici fournies sont exactes et à jour au 12/11/2021.

Aberdeen Standard Investments Luxembourg S.A. est agréée au Luxembourg et réglementée par la CSSF et a son siège social au 35a avenue John F. Kennedy, L-1855 Luxembourg, Grand-Duché de Luxembourg.",Quelle est autorité a agréé le Fonds Aberdeen Standard SICAV I ?,Commission de Surveillance du Secteur Financier (CSSF), La Commission de Surveillance du Secteur Financier (CSSF),True
22,"World Resources Equity Fund, un compartiment libellé en dollars américains du fonds Aberdeen Standard SICAV I, classe d'Actions S Acc
Hedged EUR (ISIN : LU0505784883). Ce fonds est géré par Aberdeen Standard Investment Luxembourg S.A.",Quelle est le nom de la société de gestion responsable de ce fonds ?,Aberdeen Standard Investment Luxembourg S.A., Aberdeen Standard Investment Luxembourg S.A.,True
23,"Produits dérivés et techniques
- Les instruments dérivés ne sont utilisés qu'à des fins de couverture ou pour établir les expositions qui pourraient être obtenues en investissant dans les actifs dans lesquels le Fonds est principalement investi.
L'utilisation de produits dérivés est contrôlée afin de veiller à ce que le fonds ne soit pas exposé à des risques excessifs ou involontaires.
Les investisseurs du fonds peuvent acheter et vendre des actions n'importe quel jour de bourse (tel que défini dans le Prospectus).
Si vous investissez dans des actions de revenu, vous recevrez le revenu des placements dans le fonds. Si vous investissez dans des actions de capitalisation, le revenu sera ajouté à la valeur de vos actions.
Recommandation : le fonds peut ne pas convenir aux investisseurs qui prévoient retirer leur argent dans les cinq ans. Les investisseurs devraient s'assurer que leur attitude face au risque est conforme au profil de risque de ce fonds avant d'investir.",A quels types d'investisseurs pourrait-il ne pas convenir ?,le fonds peut ne pas convenir aux investisseurs qui prévoient retirer leur argent dans les cinq ans., Le fonds pourrait ne pas convenir aux investisseurs qui prévoient retirer leur argent dans les cinq ans.,True
24,L'Aberdeen Standard SICAV I est agréée au Luxembourg et réglementée par la Commission de Surveillance du Secteur Financier (CSSF) en vertu de la loi UCITs de 2010. Les informations clés pour l'investisseur ici fournies sont exactes et à jour au 12/11/2021.,Dans quel pays ce fond a t-il été agréé ?,Luxembourg, Luxembourg,True
25,"Les instruments dérivés ne sont utilisés qu'à des fins de couverture ou pour établir les expositions qui pourraient être obtenues en investissant dans les actifs dans lesquels le Fonds est principalement investi.
L'utilisation de produits dérivés est contrôlée afin de veiller à ce que le fonds ne soit pas exposé à des risques excessifs ou involontaires.
Les investisseurs du fonds peuvent acheter et vendre des actionsn'importe quel jour de bourse (tel que défini dans le Prospectus).
Si vous investissez dans des actions de revenu, vous recevrez le revenu des placements dans le fonds. Si vous investissez dans des actions de capitalisation, le revenu sera ajouté à la valeur de vos actions.
Recommandation : le fonds peut ne pas convenir aux investisseurs qui prévoient retirer leur argent dans les cinq ans. Les investisseurs devraient s'assurer que leur attitude face au risque est conforme au profil de risque de ce fonds avant d'investir.",Dans quel but des instruments dérivés sont utilisés ici ?,à des fins de couverture, Pour des fins de couverture ou pour établir des expositions similaires à celles obtenues en investissant directement dans les actifs principaux du fonds.,False
26,"ACATIS GANÉ VALUE EVENT FONDS - Catégorie de parts A
WKN / ISIN: A0X754 / DE000A0X7541
Ce fonds est géré par la société d’investissement ACATIS Investment Kapitalverwaltungsgesellschaft mbH.

Le fonds est géré activement.
L’objectif d’investissement visé par le fonds consiste à obtenir une plus-value la plus élevée possible.
Pour y parvenir, le fonds investit dans différentes catégories de placement. Lorsqu’il sélectionne les positions du fonds dans le cadre d’une politique d‘investissement axée sur la valeur (« Value Investing »), le gérant de portefeuille tient compte des événements spécifiques à l’entreprise (« Event driven Value »), tels que les changements apportés à la structure du capital ou à l’actionnariat. En se concentrant sur les sociétés présentant une modèle d’entreprise de qualité (entreprises se caractérisant par leur pérennité, des avantages concurrentiels existants pouvant être maintenus et leur capacité à générer des flux de trésorerie disponible élevés), le fonds entend ainsi réduire les risques fondamentaux inhérents à la sélection de ses positions. Le portefeuille sera diversifié en investissant dans différents types d’événements (Events) et différentes durées de détention des investissements. Le fonds peut étoffer son portefeuille en investissant dans des titres produisant des intérêts et dans des obligations, étant entendu que plus de 35% de sa valeur pourront être investis dans des titres de dette ainsi que dans des prêts accordés contre des reconnaissances de dette de la République fédérale d’Allemagne. Ce fonds promeut des caractéristiques environnementales et/ou sociales au sens de l’article 8 du règlement sur la publication d’informations (règlement (UE) 2019/2088). De plus amples informations sont disponibles dans la section « Principes et politique d’investissement » du prospectus du fonds.",Quel est le nom complet du produit ou du fonds présenté dans ce KIID,ACATIS GANÉ VALUE EVENT FONDS - Catégorie de parts A, ACATIS GANÉ VALUE EVENT FONDS - Catégorie de parts A,True
27,WKN / ISIN: A0X754 / DE000A0X7541,Quel est le code ISIN de ce fonds ?,DE000A0X7541, DE000A0X7541,True
28,"Hauck Aufhäuser Lampe Privatbank AG est la banque dépositaire du fonds.
Le prospectus de vente* et les rapports actuels* peuvent être demandés gratuitement auprès d’ACATIS Investment
Kapitalverwaltungsgesellschaft mbH, mainBuilding - Taunusanlage 18, 60325 Francfort-sur-le-Main. Vous trouverez les prix actuels
des parts ainsi que des informations complémentaires sur le fonds et le cas échéant sur les autres catégories de parts du fonds sur
notre site internet à l´adresse https://acatis.de. (*Disponible en anglais et en allemand.)
Le fonds est soumis à loi allemande régissant les impôts sur les investissements. Cela peut avoir un impact sur la façon dont vous
serez imposé en rapport avec vos revenus provenant du fonds.
La responsabilité de la sociéte d'investissement ACATIS Investment Kapitalverwaltungsgesellschaft mbH ne peut être engagée que
sur la base de déclarations contenues dans le présent document qui seraient trompeuses, inexactes ou non cohérentes avec les
parties correspondantes du prospectus de l’OPCVM.
Ce fonds est agréé en Allemagne et réglementé par l'Office fédéral allemand de surveillance du secteur financier (Bundesanstalt für
Finanzdienstleistungsaufsicht - BaFin).
Euro Short-Term Rate (€STR)® est une marque déposée de Banque centrale européenn, MSCI World® est une marque déposée de
MSCI Limited.
Les informations sur la politique de rémunération actuelle de l'entreprise sont publiées sur Internet à l'adresse suivante:
https://www.acatis.de. Vous y trouverez notamment une description des méthodes de calcul des rémunérations et indemnités pour
des catégories spécifiques de salariés ainsi que la mention des personnes responsables de la distribution y compris les membres du
comité de rémunération. Sur demande, l'entreprise mettra gratuitement à disposition ces informations sur support papier.
Les informations clés pour l’investisseur ici fournies sont exactes et à jour au 31.01.2022.",Quelle est la société de gestion responsable de ce fonds ?,ACATIS Investment Kapitalverwaltungsgesellschaft mbH, ACATIS Investment Kapitalverwaltungsgesellschaft mbH,True
29,"Informations clés pour l’investisseur
Ce document fournit des informations essentielles aux investisseurs de ce fonds. Il ne s’agit pas d’un document promotionnel.
Les informations qu’il contient vous sont fournies conformément à une obligation légale, afin de vous aider à comprendre en
quoi consiste un investissement dans ce fonds et quels risques y sont associés. Il vous est conseillé de le lire pour décider en
connaissance de cause d’investir ou non.
ACATIS GANÉ VALUE EVENT FONDS - Catégorie de parts A
WKN / ISIN: A0X754 / DE000A0X7541
Ce fonds est géré par la société d’investissement ACATIS Investment Kapitalverwaltungsgesellschaft mbH.

Le fonds est géré activement.
L’objectif d’investissement visé par le fonds consiste à obtenir une plus-value la plus élevée possible.
Pour y parvenir, le fonds investit dans différentes catégories de placement. Lorsqu’il sélectionne les positions du fonds dans le cadre d’une politique d‘investissement axée sur la valeur (« Value Investing »), le gérant de portefeuille tient compte des événements
spécifiques à l’entreprise (« Event driven Value »), tels que les changements apportés à la structure du capital ou à l’actionnariat. En se concentrant sur les sociétés présentant une modèle d’entreprise de qualité (entreprises se caractérisant par leur pérennité, des
avantages concurrentiels existants pouvant être maintenus et leur capacité à générer des flux de trésorerie disponible élevés), le fonds entend ainsi réduire les risques fondamentaux inhérents à la sélection de ses positions. Le portefeuille sera diversifié en
investissant dans différents types d’événements (Events) et différentes durées de détention des investissements. Le fonds peut étoffer son portefeuille en investissant dans des titres produisant des intérêts et dans des obligations, étant entendu que plus de 35%
de sa valeur pourront être investis dans des titres de dette ainsi que dans des prêts accordés contre des reconnaissances de dette de la République fédérale d’Allemagne. Ce fonds promeut des caractéristiques environnementales et/ou sociales au sens de l’article
8 du règlement sur la publication d’informations (règlement (UE) 2019/2088). De plus amples informations sont disponibles dans la section « Principes et politique d’investissement » du prospectus du fonds.
L’indice de référence suivi par le fonds est le: 50% ESTR TR (EUR), 50% MSCI World GR (EUR). L’indice de référence du fonds est déterminé par la Société et peut, le cas échéant, être changé. Toutefois, le fonds ne vise pas à reproduire son indice de référence.
Le gestionnaire du portefeuille peut investir à son entière discrétion dans des titres ou secteurs qui ne sont pas couverts par l’indice de référence afin de saisir des opportunités de placement spécifiques. La stratégie d’investissement limite le degré de déviation du portefeuille-titres par rapport à l’indice de référence. Cet écart peut être important.
Le fonds peut s’engager dans des opérations ayant pour objet des produits dérivés dans un but de couverture de positions d’actif ou pour tâcher d’obtenir une plus-value plus élevée.
Dans ce contexte, la sélection des différents éléments d’actif incombe au management du fonds.
La politique d’investissement est celle mise en œuvre lors de la rédaction du présent document. Elle peut être modifiée à tout moment dans le cadre des conditions contractuelles du fonds (voir la rubrique « Conditions contractuelles particulières » dans le
prospectus de vente).
Les revenus restent acquis au Fonds (les cas échéant: cette categorie de parts) et augmentent la valeur des parts.
Les investisseurs peuvent en principe demander de se faire racheter leurs parts par la société d‘investissement chaque jour de
bourse. Toutefois, la société d’investissement peut différer le rachat si des circonstances exceptionnelles l’exigent, en prenant en
considération l’intérêt des investisseurs.
Le fonds convient aux investisseurs possédant un horizon d’investissement à moyen et à long terme.",Quel est le code d'identification de titres allemand ?,A0X754, A0X754,True
