id,question,answer,prediction,google__gemma-3-27b-it,Qwen__Qwen3-32B,meta-llama__Llama-3.3-70B-Instruct,majority_vote
22,Quelle est le nom de la société de gestion responsable de ce fonds ?,Aberdeen Standard Investment Luxembourg S.A., Aberdeen Standard Investment Luxembourg S.A.,True,True,True,True
23,A quels types d'investisseurs pourrait-il ne pas convenir ?,le fonds peut ne pas convenir aux investisseurs qui prévoient retirer leur argent dans les cinq ans., Investisseurs qui prévoient retirer leur argent dans les cinq ans.,True,True,True,True
24,Dans quel pays ce fond a t-il été agréé ?,Luxembourg, Luxembourg,True,True,True,True
25,Dans quel but des instruments dérivés sont utilisés ici ?,à des fins de couverture, à des fins de couverture ou pour établir les expositions,False,False,False,False
26,Quel est le nom complet du produit ou du fonds présenté dans ce KIID,ACATIS GANÉ VALUE EVENT FONDS - Catégorie de parts A, ACATIS GANÉ VALUE EVENT FONDS,True,True,False,True
27,Quel est le code ISIN de ce fonds ?,DE000A0X7541, DE000A0X7541,True,True,True,True
28,Quelle est la société de gestion responsable de ce fonds ?,ACATIS Investment Kapitalverwaltungsgesellschaft mbH, ACATIS Investment Kapitalverwaltungsgesellschaft mbH,True,True,True,True
29,Quel est le code d'identification de titres allemand ?,A0X754, WKN,False,False,False,False
30,Quel est l'objectif d'investissement principal de ce fonds ?,une plus-value la plus élevée possible, obtenir une plus-value la plus élevée possible,True,True,True,True
31,S’agit-il d’un fonds à gestion active ou à gestion passive ?,géré activement, S’agit-il d’un fonds à gestion active ?,True,False,True,True
32,À quel benchmark le fonds se compare-t-il pour évaluer ses résultats ?,"50% ESTR TR (EUR), 50% MSCI World GR (EUR)"," 50% ESTR TR (EUR), 50% MSCI World GR (EUR)",True,True,True,True
33,Quelle est la catégorie de risque ISRR de ce fonds ?,catégorie 5, Catégorie 5,True,True,True,True
34,Combien de temps est-il recommandé de conserver cet investissement ?,moyen et à long terme, à moyen et à long terme,True,True,True,True
35,La performance est calculée dans quel devise ?,Euro, Euro,True,True,True,True
36,Quand ce fonds a-t-il été mis sur le marché pour la première fois ?,15.12.2008, 15.12.2008,True,True,True,True
37,Quels frais s’appliquent lors du retrait de l’investissement ?,"0,00 %"," 0,00%",True,True,True,True
38,Quels frais sont prélevés à l’entrée dans ce fonds ?,"5,00% "," 5,00%",True,True,True,True
39,Quels sont les frais annuels récurrents facturés par le fonds ?,"1,80 %"," Frais courants: 1,80%",True,True,True,True
40,"Le fonds applique-t-il des frais de performance, et selon quelle méthode de calcul ?",jusqu'à 20% des rendements générés par le fonds au-delà de la valeur de référence," Oui, le fonds applique des frais de performance, calculés jusqu'à 20% des rendements générés par le fonds au-delà de la valeur de référence.",True,True,True,True
41,Quelle entité assure la conservation des actifs du fonds ?,Hauck Aufhäuser Lampe Privatbank AG, Hauck Aufhäuser Lampe Privatbank AG,True,True,True,True
42,Quelle autorité réglementaire a donné son agrément à ce fonds ?,Office fédéral allemand de surveillance du secteur financier (Bundesanstalt für Finanzdienstleistungsaufsicht - BaFin), Bundesanstalt für Finanzdienstleistungsaufsicht - BaFin,True,True,True,True
43,Quand le présent KIID a-t-il été actualisé pour la dernière fois ?,31.01.2022, 31.01.2022,True,True,True,True
44,À quelle date cette classe d’actions/parts a-t-elle été lancée ?,15.12.2008, 15.12.2008,True,True,True,True
45,Dans quel objectif le fonds utilise-t-il des instruments de couverture ?,dans un but de couverture de positions d’actif , pour tâcher d’obtenir une plus-value plus élevée,False,False,False,False
46,À quelle directive européenne sur les instruments financiers ce fonds est-il soumis ?,règlement (UE) 2019/2088, règlement (UE) 2019/2088,True,True,True,True
47,"Quelle formulation dans le texte indique explicitement la nature du document ?

",Informations clés pour l’investisseur," ""Ce document fournit des informations essentielles aux investisseurs de ce fonds. Il ne s’agit pas d’un document promotionnel.""",False,False,True,False
48,Quel est le nom exact du fonds présenté ?,European Opportunities," European Opportunities, un Compartiment de Alken Fund géré par AFFM S.A.",True,True,True,True
49,"Quel est le nom du fonds parapluie dont le compartiment ""European Opportunities"" fait partie ?",Alken Fund, Alken Fund,True,True,True,True
50,Quel est le code ISIN permettant d’identifier ce fonds ?,LU0524465977, LU0524465977,True,True,True,True
51,Quel est l’objectif principal de ce fonds en matière d’investissement ?,croissance de votre capital à long terme, obtenir une croissance de votre capital à long terme,True,True,True,True
52,Quelle est la durée de placement recommandée pour cet investissement ?,5 ans ou plus, 5 ans ou plus,True,True,True,True
53,Ce fonds est-il géré activement ou suit-il un indice de manière passive ?,gestion active, géré activement,True,True,True,True
54,À quel profil d’investisseur ce fonds est-il destiné ?,investisseurs adhérant au principe de durabilité (article 8 du règlement (UE) 2019/2088), investisseurs adhérant au principe de durabilité,True,True,True,True
55,À quel cadre réglementaire ESG ce fonds est-il associé ?,article 8 du règlement (UE) 2019/2088, article 8 du règlement (UE) 2019/2088,True,True,True,True
56,Quel indice est utilisé comme référence pour évaluer la performance de ce fonds ?,STOXX Europe 600 Net Return EUR, STOXX Europe 600 Net Return EUR,True,True,True,True
57,Quels types d’instruments dérivés le fonds peut-il utiliser ?,"contrats à terme standardisés, des options, des contrats à terme de gré à gré et des swaps"," contrats à terme standardisés, options, contrats à terme de gré à gré et swaps",True,True,True,True
58,Quel est l’impact potentiel des enjeux ESG sur la valeur de l’investissement ?,"problématiques ESG peuvent, le cas échéant, avoir une incidence négative importante sur la valeur de l’investissement", Une incidence négative importante,True,True,True,True
59,Quel pourcentage de frais est prélevé à l’entrée du produit ?,0.03, 3.00%,True,False,True,True
60,"A la sortie, quels sont les frais appliqués en pourcentage ? ",0.03, 3.00%,True,False,True,True
61,Quels sont les frais courants supportés annuellement par l’investisseur ?,0.026000000000000002, 2.60%,True,True,True,True
62,Comment la Commission de performance est-elle calculée ?,"10% du rendement positif réalisé par le compartiment au-delà de la performance de l’indice MSCI Europe ex-UK Net Return EUR.
La commission de performance est accumulée quotidiennement et payable annuellement.
Commission de performance facturée au titre de l’exercice précédent : 0.00%.", 10% du rendement positif réalisé par le compartiment au-delà de la performance de l’indice MSCI Europe ex-UK Net Return EUR.,True,True,True,True
63,Quelle est la date de création de ce fonds ?,2006, 2006,True,True,True,True
64,Quel est le nom de l’établissement dépositaire du fonds ?,Pictet & Cie (Europe) S.A., Pictet & Cie (Europe) S.A.,True,True,True,True
65,Quelle autorité est responsable de l’agrément et de la supervision de ce fonds ?,Commission de Surveillance du Secteur Financier (CSSF), Commission de Surveillance du Secteur Financier (CSSF),True,True,True,True
66,"À quel type d’investisseur ce compartiment est-il destiné, et quelle est la durée de détention recommandée ?",période de détention recommandée de 5 ans ou plus. Ce Compartiment peut convenir aux investisseurs adhérant au principe de durabilité (article 8 du règlement (UE) 2019/2088)., Ce compartiment est destiné aux investisseurs adhérant au principe de durabilité et ayant une période de détention recommandée de 5 ans ou plus.,True,True,True,True
67,À quelle date ce document d’informations clés a-t-il été mis à jour pour la dernière fois ?,16/02/2022, 16/02/2022,True,True,True,True
68,"Comment savoir, à la lecture du document, qu’il s’agit d’un KIID  plutôt que d’un PRIIP ?",Informations clés pour l’investisseur," Le document mentionne explicitement qu'il s'agit d'informations clés pour l’investisseur (ICI) conformément à une obligation légale, ce qui est caractéristique d'un KIID (Key Investor Information Document).",True,True,True,True
69,Quelle formulation dans le document permet d’identifier qu’il relève de la réglementation PRIIP et non d’un KIID UCITS ?,DOCUMENT D’INFORMATIONS CLÉS," ""conformément à une obligation légale""",False,False,False,False
70,Quel est le nom du produit ou du fonds décrit dans ce document ?,Allianz Income and Growth, Allianz Income and Growth,True,True,True,True
71,Sous quel fonds parapluie ce produit est-il structuré ?,Allianz Global Investors Fund, Allianz Global Investors Fund,True,True,True,True
72,Quel est le code d'identification international de ce fonds ?,LU0766462104, LU0766462104,True,True,True,True
73,Quelle entité est responsable de la gestion de ce fonds ?,Allianz Global Investors GmbH, Allianz Global Investors GmbH,True,True,True,True
74,Qui est l'organisme responsable de la régulation de ce produit financier ?,Commission de Surveillance du Secteur Financier (CSSF), Commission de Surveillance du Secteur Financier au Luxembourg,True,True,True,True
75,Quelle est la structure juridique de ce produit d'investissement ?,OPCVM, OPCVM,True,True,True,True
76,Quelle est la durée de vie prévue de cet investissement ?,durée indéterminée, durée indéterminée,True,True,True,True
77,Quels types d'actifs composent principalement ce portefeuille d'investissement ?,Actions et/ou des obligations, Actions et/ou des obligations,True,True,True,True
78,Dans quelles régions géographiques ce fonds concentre-t-il ses investissements ?,États-Unis et/ou du Canada, États-Unis et/ou du Canada,True,True,True,True
79,Où puis-je trouver des informations officielles en ligne concernant l'autorité de régulation de ce fonds?,www.cssf.lu, www.cssf.lu,True,True,True,True
80,Quel est le numéro de téléphone pour obtenir de l'assistance concernant ce Fonds?,/+352 463 463 1. , +352 463 463 1,True,True,True,True
81,À quelle adresse électronique puis-je adresser mes questions ou réclamations concernant ce fonds?,investorrightsandcomplaints@allianzgi.com, investorrightsandcomplaints@allianzgi.com,True,True,True,True
82,Où se trouve le siège social de la société de gestion de ce fond?,"Bockenheimer Landstrasse 42-44, D-60323 Francfort-sur-le-Main, Allemagne"," Francfort-sur-le-Main, Allemagne",True,False,True,True
83,Combien de temps est-il conseillé de conserver cet investissement ?,4 ans, 4 ans,True,True,True,True
84,Quels sont les frais d'entrée ?,"5,00 %"," 5,00 % du montant que vous payez au moment de l’entrée dans l’investissement.",True,True,True,True
85,Quel est le pourcentage des frais annuel prélevé pour la gestion de ce fonds?,"1,55 %"," 1,55 %",True,True,True,True
86,Quels sont les coûts de transations prélevés chaque années ?,"0,07 %"," 0,07 % de la valeur de votre investissement par an",True,True,True,True
87,Quelle institution financière assure la conservation des actifs de ce fonds ?,State Street Bank International GmbH – Luxembourg Branch, State Street Bank International GmbH – Luxembourg Branch,True,True,True,True
88,Quand ce document a-t-il été mis à jour pour la dernière fois?,29.12.2022, 29.12.2022,True,True,True,True
89,Sous quelle forme juridique a été constitué ce Fonds,Fonds Commun de Placement (FCP), Fonds Commun de Placement (FCP) de droit français.,True,True,False,True
90,Quel est le statut réglementaire du Fonds ?,OPCVM, Fonds Commun de Placement (FCP) de droit français.,False,False,False,False
91,À quel code ISIN correspond ce produit financier ?,FR0013294709, FR0013294709,True,True,True,True
92,Quand le fonds a-t-il été effectivement constitué ?,19/12/2017, 19/12/2017,True,True,True,True
93,Quelle est la durée d’existence prévue ?,99 ans, 99 ans,True,True,True,True
94,Qui assure la gestion de ce FCP ?,Edmond de Rothschild Asset Management (France), EDMOND DE ROTHSCHILD ASSET MANAGEMENT (FRANCE),True,True,True,True
95,Quel acteur est chargé de la conservation des actifs ?,CACEIS Bank, CACEIS Bank,True,True,True,True
96,Quel cabinet a été désigné comme commissaire aux comptes ?,KPMG Audit, KPMG AUDIT,True,True,True,True
97,À qui a été confiée la centralisation des ordres par délégation ?,CACEIS Bank, CACEIS Bank,True,True,True,True
98,À quel indice de référence ce fonds se rapporte-t-il de manière permanente ?,Aucun indice de référence ne sera utilisé par BDL, Eonia Capitalisé,False,False,False,False
99,Les parts du fonds sont-elles nominatives ou au porteur ?,Forme des parts : Au porteur, Au porteur,True,True,True,True
100,Dans quel système de règlement-livraison les parts du fonds sont-elles inscrites ?,Euroclear France, Euroclear France,True,True,True,True
101,À quoi correspond l’objectif de gestion du fonds nourricier ?,Performance absolue," L’objectif de gestion de l’OPCVM nourricier est celui de son maître, l’OPCVM BDL Rempart Europe.",False,False,False,False
102,Quel est le niveau de risque concernant la restitution du capital investi ?,son capital pourra ne pas lui être intégralement restitué, Risque de perte en capital,True,True,True,True
103,Comment s’exprime l’exposition du fonds au risque actions ?,exposition au risque actions comprise entre -20% et 100%, entre -20% et 100%,True,True,True,True
104,À combien s’élèvent les frais de gestion maximum de ce fonds ?,"0,65% TTC maximum", 0.65% TTC maximum,True,True,True,True
105,Quel est le montant de la commission prélevée lors du rachat des parts ?,Néant, Néant,True,True,True,True
106,Quel est le taux de la commission de surperformance appliqué par le fonds ?,20% au-delà de l’Eonia capitalisé, Néant,False,False,False,False
107,Quelle est la durée de placement recommandée pour ce fonds ?,3 à 5 ans minimum, 3 à 5 ans minimum,True,True,True,True
108,En quelle devise le fonds est-il libellé ?,Euro, Euros,True,True,True,True
109,Quel est le mode d’affectation des résultats ?,Capitalisation, Non précisé dans le contexte fourni.,False,False,False,False
110,Quel est le code alphanumérique permettant d’identifier au produit financier présenté ?,FR0013294709, FR0013294709,True,True,True,True
111,Quelle est la dénomination du produit présenté ?,Link BDL Rempart, Link BDL Rempart,True,True,True,True
112,Quel est le fonds maître auquel est rattaché le FCP nourricier Link BDL Rempart ?,BDL Rempart Europe, BDL Rempart Europe,True,True,True,True
113,Quelle est la stratégie d’investissement mise en œuvre par le fonds ?,stratégie d’investissements en actions dites « long/short »., La stratégie d’investissement mise en œuvre par le fonds est une stratégie « long/short » en actions.,True,True,True,True
114,Quels types d’instruments financiers sont mobilisés dans la gestion du fonds ?,produits dérivés, instruments financiers à terme (dérivés),True,True,True,True
115,Le capital investi est-il intégralement garanti ?,son capital pourra ne pas lui être intégralement restitué, Non,True,True,True,True
116,Quel risque est associé à la liquidité des titres dans lesquels le fonds peut investir ?,Les marchés des mid-caps ont un volume de titres cotés en bourse réduit, Risque de liquidité,False,False,True,False
117,Quel est le pourcentage maximal des frais d’entrée appliqués ?,3% maximum, 5% TTC maximum,False,False,False,False
118,À combien s’élèvent les frais de gestion du fonds ?,0.65% TTC* maximum, 0.65% TTC maximum,True,True,True,True
119,Quel est le niveau de la commission de performance du fonds ?,20% au-delà de l’Eonia capitalisé, 20% au-delà de l’Eonia capitalisé,True,True,True,True
120,Quel est le dépositaire désigné pour ce fonds ?,CACEIS Bank, CACEIS Bank,True,True,True,True
121,Quelle autorité a délivré l’agrément de ce fonds ?,Autorité des Marchés Financiers, Autorité des Marchés Financiers,True,True,True,True
122,Quelle est la date à laquelle l’AMF a agréé ce fonds ?,14/11/2017, 14/11/2017,True,True,True,True
123,Quelle est l’adresse à laquelle un investisseur peut contacter la société de gestion ?,"47 rue du Faubourg Saint-Honoré
75401 Paris Cedex 08"," 47 rue du Faubourg Saint-Honoré, 75401 Paris Cedex 08",True,True,True,True
124,Par quel canal numérique peut-on obtenir des informations sur le dépositaire ?,www.caceis.com, www.caceis.com,True,True,True,True
125,Comment contacter la société de gestion par téléphone ?,00 33 1 40 17 25 25, 00 33 1 40 17 25 25,True,True,True,True
126,A quel public s'adresse ce produit financier ?,"Tous souscripteurs, destiné plus particulièrement à la clientèle privée d’Edmond de Rothschild (France)", clientèle privée d’Edmond de Rothschild (France),True,True,True,True
127,Quel est le but de l’exposition du fonds à certains produits dérivés ?,à des fins de couverture, à des fins de couverture,True,True,True,True
128,À quelle date les informations du fonds ont-elles été actualisées pour la dernière fois ?,2020-11-02T00:00:00, 11-02-2020,True,True,True,True
129,À quelle directive européenne ce fonds est-il conforme ?,2009/65/CE, Directive européenne 2009/65/CE,True,True,True,True
130,Quelle est la date limite pour transmettre un ordre de souscription ?,J-1 avant 10h* , J-1 avant 10h,True,True,True,True
131,Quelle société cotée est citée comme opérateur de marché boursier en Europe ?,Euronext, Euronext,True,True,True,True
132,Quel est le nom du document dans lequel figurent ces informations réglementaires ?,Prospectus, PROSPECTUS,True,True,True,True
133,Quels sont les frais de gestion appliqués à la part R ?,"2,20%"," 2,20% TTC",True,False,True,True
134,Quel est le taux de frais de gestion pour la part I ?,"0,90%"," 0,90% TTC",True,False,True,True
135,Quel est le niveau de commission de surperformance appliqué au fonds ?,15% de la surperformance au-delà de l’EURO STOXX® Net Return EUR, 15% de la surperformance au-delà de l’EURO STOXX® Net Return EUR,True,True,True,True
136,Quel est l’indice utilisé comme référence pour mesurer la performance du fonds ?,EURO STOXX® Net Return EUR, EURO STOXX® Net Return EUR,True,True,True,True
137,Quel est le code d’identification de la part M ?,FR0013297066, FR0013297066,True,True,True,True
138,Quel est le code d’identification de la part I ?,FR0012221992, FR0012221992,True,True,True,True
139,À quel public la part F est-elle destinée ?,Tous souscripteurs," La part F est destinée à tout investisseur, et, dans le cadre de la souscription ou distribution au sein de l’Union Européenne, qui s'adressent uniquement à : (i) des intermédiaires financiers qui ne sont pas autorisés à recevoir et/ou conserver toutes commissions ou avantages non-moné",False,False,False,False
140,Quel est le montant minimal requis pour une souscription initiale à la part I ?,1 000 000, EUR 1 000 000,True,True,True,True
141,À quelle directive européenne sur les instruments financiers ce fonds est-il conforme ?,Directive MIF2, Directive MIF2,True,True,True,True
142,Quelles restrictions légales s’appliquent aux investisseurs américains ?,“US Person” U.S SEC Regulation S (Part 230 – 17 CFR 2330.903)," Les parts de ce Fonds n’ont pas été enregistrées et ne seront pas enregistrées en vertu de la loi US Securities Act of 1933. Elles ne peuvent pas être offertes ou vendues, directement ou indirectement, aux Etats-Unis ou pour le compte ou au bénéfice d’une «",False,True,True,True
143,Quelle réglementation fiscale internationale est prise en compte dans la gestion du fonds ?,FATCA, FATCA,True,True,True,True
144,À quelle date le conseil a-t-il été consulté concernant ce fonds ?,15 mai 2014, 15 mai 2014,True,True,True,True
145,Quel type de risque est lié à la faible négociabilité des instruments détenus par le fonds ?,risque de liquidité, risque de liquidité,True,True,True,True
146,À quoi le fonds est-il exposé en cas de modification du niveau ou de la forme des taux d’intérêt ?,variation de la courbe des taux, Risque de taux,False,False,True,False
147,Quel est le niveau maximal d’exposition du fonds au risque de change ?,Le risque de change est limité à 10% maximum de l’actif du fonds, 10% maximum de l’actif du fonds.,True,True,True,True
148,À quels types d’actifs le risque de crédit est-il restreint dans ce fonds ?,limité aux titres de créances et instruments du marché monétaires qui pourront composer l’actif net pour 10% maximum, titres de créances et instruments du marché monétaires,True,True,True,True
149,Quel a été le rendement des parts du fonds en année 4 ?,0.06, 6%,True,True,True,True
150,Quelle a été la performance de l’indice de référence au cours de l’année 2 ?,-0.05, -5%,True,True,True,True
151,Quelle institution a délivré l’agrément du dépositaire ?,Autorité de Contrôle Prudentiel et de Résolution, Autorité de Contrôle Prudentiel et de Résolution,True,True,True,True
152,Société de gestion de portefeuille,Autorité des marchés financiers, Mandarine Gestion,False,False,False,False
153,À quelle date le document réglementaire a-t-il été mis à jour pour la dernière fois ?,2023-01-01T00:00:00, 01/01/2023,True,True,True,True
154,Quel est le régime fiscal applicable à ce fonds ?,Eligible au PEA, Le fonds est qualifié d’ « Aktienfonds » au sens de la législation fiscale allemande (§2 Abs. 6 InvStG) et l’investissement dans des « Kapitalbeteiligungen » selon §2 Abs. 8 InvStG sera continuellement supérieur à 50%,False,False,False,False
155,Quel acteur assure la gestion administrative et financière du fonds ?,Mandarine Gestion, BNP PARIBAS,False,False,False,False
156,Quel est le type de document dans lequel les informations sont publiées ?,Prospectus, prospectus,True,True,True,True
157,Quel est le numéro de téléphone pour joindre la société de gestion ?,33.1.801.814.80, +33.1.801.814.80,True,True,True,True
158,Combien de temps l’investisseur est-il invité à conserver ses parts ?,5 ans, supérieure à 5 ans,False,False,False,False
159,À quelle Catégorie juridique ce fonds appartient-il ?,OPCVM, Fonds Commun de Placement,False,False,False,False
160,Quelle est la limite maximale d’investissement du fonds en parts ou actions d’OPCVM ou de FIA français ou européens ?,10% de leur actif en parts ou actions d’OPCVM / de FIA français ou européens., 10%,True,True,True,True
161,Quels instruments financiers classiques sont intégrés dans la stratégie d’investissement ?,"actions, obligations et valeurs assimilés"," Les actions, obligations et valeurs assimilées",True,True,True,True
162,Quel type d’instrument est utilisé pour gérer ses besoins de trésorerie à court terme ?,T.C.N., Les T.C.N.,True,True,True,True
163,À quel indice boursier la performance du fonds peut-elle être comparée ?,EURO STOXX® Net Return EUR, EURO STOXX® Net Return EUR,True,True,True,True
164,Combien de temps ce fonds est-il juridiquement constitué pour exister ?,99 ans, 99 ans,True,True,True,True
165,Quand ce fonds a-t-il été lancé ?,2014-06-11T00:00:00, 06 novembre 2014,False,False,False,False
166,Quel est le nom du dépositaire en charge de la garde des actifs de l’OPCVM ?,BNP Paribas, BNP PARIBAS,True,True,True,True
167,Quel cabinet est désigné en tant que commissaire aux comptes du fonds ?,DELOITTE & ASSOCIES, DELOITTE & ASSOCIES,True,True,True,True
168,Quelle est la finalité de la stratégie de gestion du fonds ?,Le Fonds a pour objectif de réaliser une performance nette de frais supérieure à celle de l’indice EURO STOXX® Net Return EUR ," La finalité de la stratégie de gestion du fonds est de réaliser une performance nette de frais supérieure à celle de l’indice EURO STOXX® Net Return EUR sur la durée de placement recommandée en sélectionnant des entreprises de la zone euro via une stratégie de « stockpicking », tout en intégrant",True,True,True,True
169,Quel pourcentage minimum de l’actif du fonds est dédié à l’exposition actions ?,Le Fonds est exposé au minimum à hauteur de 60% de son actif, 60%,True,True,True,True
170,Comment les revenus générés par le fonds sont-ils traités ?,Capitalisation, Capitalisation,True,True,True,True
171,Quel est le style de gestion appliqué au fonds ?,Le Fonds est géré activement, Le fonds utilise une stratégie de « stockpicking » avec une approche « Best-in-Universe » pour la sélection des entreprises en tenant compte des critères ESG.,False,False,True,False
172,Quel est la forme légale de ce produit d’investissement ?,OPCVM, Fonds Commun de Placement,False,False,False,False
173,Quel est le statut réglementaire exact de cet OPCVM ?,Fonds Commun de Placement, OPCVM de droit français relevant de la directive 2014/91/UE,False,False,False,False
174,Quelle adresse postale utiliser pour contacter le centralisateur ?,"16, Boulevard des Italiens- 75009 PARIS"," 16, Boulevard des Italiens- 75009 PARIS",True,True,True,True
175,Quelle est l’adresse e-mail à utiliser pour contacter le service client de la société de gestion ?,serviceclient@mandarine-gestion.com, serviceclient@mandarine-gestion.com,True,True,True,True
176,Quel type d’instruments dérivés peut être utilisé par le fonds ?,Instruments financiers à terme, instruments financiers à terme,True,True,True,True
177,Quel établissement assure la centralisation des ordres pour ce fonds en France ?,CACEIS Bank, CACEIS Bank,True,True,True,True
178,Quelle est la date de la dernière actualisation de l’addendum ?,9 octobre 2009, 9 juin 2009,False,False,False,False
179,À quelle directive européenne le produit se conforme-t-il ?,85/611/CEE, directive européenne n° 85/611/CEE,True,True,True,True
180,Quel type de document complète le prospectus de la SICAV pour le public français ?,Addendum , addendum,True,True,True,True
181,Quel organisme français a délivré l’agrément pour les compartiments de la SICAV ?,Autorité des marchés financiers, Autorité des marchés financiers (AMF),True,True,True,True
182,Où se trouve le bureau de CACEIS Bank pour ce fonds ?,"1, place Valhubert - 75013 Paris"," 1, place Valhubert - 75013 Paris",True,True,True,True
183,À quelle forme légale appartient la BLACKROCK GLOBAL FUNDS SICAV ?,OPCVM, SICAV,False,False,True,False
184,À quelle date le compartiment Global Corporate Bond Fund a-t-il été autorisé à la commercialisation en France ?,21 septembre 2007, 21 septembre 2007,True,True,True,True
185,Quand le compartiment US Government Mortgage Fund a-t-il reçu son autorisation ?,9 avril 2002, 9 avril 2002,True,True,True,True
186,Quel est le statut juridique de cet OPCVM : FCP ou SICAV ?,SICAV, SICAV,True,True,True,True
187,Quel est le nom complet du fonds décrit dans ce document ?,BLACKROCK GLOBAL FUNDS SICAV, BLACKROCK GLOBAL FUNDS SICAV,True,True,True,True
188,Quel est le pourcentage maximum des frais d’entrée appliqués à la Part P?,"7,25 % maximum", 7.25 %,True,True,True,True
189,À combien s’élèvent les frais courants prélevés annuellement ?,"6,4 % TTC de l’actif net"," 6,4 % TTC de l’actif net",True,True,True,True
190,Des frais de sortie sont-ils appliqués à ce fonds ?,-, Néant,True,True,True,True
191,Quels sont les frais liés à l’exploitation immobilière de la Part ?,"3,8 % TTC de l’actif net (3% TTC sur la valeur globale des actifs immobiliers gérés)"," 3,8 % TTC de l’actif net (3% TTC sur la valeur globale des actifs immobiliers gérés)",True,True,True,True
192,Quel risque est associé au recours à l’endettement dans ce fonds ?,risques de perte pouvant entraîner une baisse de la valeur liquidative, Risque lié au recours à l’endettement,False,False,True,False
193,Quel est le niveau de risque (ISRR) attribué à ce fonds ?,niveau 4, 4,True,True,True,True
194,Quelle est la date de dernière mise à jour des informations de ce document ?,9 juin 2021, 9 juin 2021,True,True,True,True
195,À quelle date ce fonds a-t-il été lancé ?,31 octobre 2019, 31 octobre 2019,True,True,True,True
196,En quelle devise les instruments financiers du fonds sont-ils libellés ?,euro, euro,True,True,True,True
197,Quelle partie du texte permet de déduire qu’il s’agit d’un document de type KIID (Key Investor Information Document) ?,DOCUMENT D’INFORMATION CLÉ POUR L’INVESTISSEUR," ""Les informations qu’il contient vous sont fournies conformément à une obligation légale, afin de vous aider à comprendre en quoi consiste un investissement dans ce support et quels risques y sont associés. Il vous est conseillé de le lire pour décider en connaissance de cause d’investir ou non.""",False,False,False,False
198,Quel est le code identifiant unique de ce fonds ?,FR0013442845, FR0013442845,True,True,True,True
199,Quelle autorité d'agrément est cité dans ce texte ?,AMF, Autorité des Marchés Financiers,True,True,True,True
200,Quel est l'horizon d'investissement pour ce fonds ?,8 ans, 8 ans,True,True,True,True
