id,question,answer,prediction,google__gemma-3-27b-it,Qwen__Qwen3-32B,meta-llama__Llama-3.3-70B-Instruct,majority_vote
35,"Dans l'exemple du graphique, la part sous-performe-t-elle l’actif de référence pendant toute la période de 5 ans ?",Oui, No.,False,False,False,False
36,"Dans l'exemple du graphique, une commission de surperformance est-elle dûe la cinquième année ?",Non, Oui.,False,False,False,False
37,En quelle année l'écart cumulé est-il le plus important ?,Année 1, 2021,False,False,False,False
38,Que représente la ligne bleue claire ?,Actif net de la part, L'Actif de Référence.,False,False,False,False
39,"Dans le tableau intitulé ""Cas d'une sous performance compensée"", quel est l'actif net de la part en Année 1?",-2, -2,True,True,True,True
40,La part est-elle en sous-performance au départ dans le graphique?,Oui, Yes.,True,True,True,True
41,"Dans le graphique, le fait que la courbe bleue claire passe au dessus de la bleue foncée signifie t-il que la part a dépassé l'actif de référence ?",Oui, Yes.,True,True,True,True
42,En quelle année le fonds a-t-il connu sa meilleure performance ?,2019, 2018,False,False,False,False
43,Quelle est la seule année de perte enregistrée sur la période ?,2018, 2017,False,False,False,False
44,Pourquoi les performances affichées avant 2019 ne reflètent-elles pas totalement la réalité du fonds actuel ?,A : La performance passée est basée sur la performance passée du fonds français absorbé créé en 2016., Date de création du Fonds : 11 janvier 2019.,False,False,False,False
45,Quel changement majeur a eu lieu en 2021 concernant l’indice de référence ?,"À compter du 02.12.2021, l’indice de référence est l’€STR capitalisé +2 %", L'indice de référence est l'ISTP capitalisé +2 %.,False,False,False,False
46,Les performances affichées tiennent-elles compte des frais du fonds ?,Oui, Oui.,True,True,True,True
47,Le fonds a-t-il mieux performé que son indice de référence en 2019 ?,Non, Yes.,False,False,False,False
48,"En 2021, le fonds a-t-il surperformé l’indice ?",Non, Yes.,False,False,False,False
49,"Durant la période 2012 à 2021, quelle année le fonds a-t-il enregistré son rendement le plus élevé, indépendamment de l’indice de référence ?",2019, 2015,False,False,False,False
50,Quel est le nom de l'indice de référence utilisé à partir de février 2016 ?,NMX 30 Infrastructure Global (TR), NMAM®90 Infrastructure Global,False,False,False,False
51,Quel est le nom du compartiment effectivement réprésenté entre février 2008 et février 2016 dans le graphique?,NMX®30 Infrastructure Global THEAM Easy UCITS ETF, ECP GLOBAL ESG INFRASTRUCTURE UCITS ETF,False,False,False,False
52,Quelle était la dénomination du fonds entre février 2016 et avril 2021 ?,NMX 30 Infrastructure Global, BNP Paribas Easy UCITS ETF Infrastructure Global,False,False,False,False
53,"D’après la légende, à quel fonds correspondent les barres bleues du graphique des performances passées ?",ECPI GLOBAL ESG INFRASTRUCTURE, ECPI GLOBAL ESG INFRASTRUCTURE UCITS ETF,True,False,True,True
54,Quelle est la phrase dans le document qui explique pourquoi les performances du “NMX®30 Infrastructure Global THEAM Easy UCITS ETF” sont utilisées pour illustrer celles du fonds actuellement commercialisé sous le nom “BNP PARIBAS EASY NMX® 30 INFRASTRUCTURE GLOBAL” ?,"02/2008-02/2016: À la suite d’une opération sur titres le 05/02/2016, les performances indiquées correspondent à celles du compartiment «NMX®30 Infrastructure Global THEAM Easy UCITS ETF». Le compartiment «BNP PARIBAS EASY NMX® 30 INFRASTRUCTURE GLOBAL» est géré conformément à une stratégie d’investissement, des processus et des frais absolument identiques."," ""A: 02/2006-02/2016 : À la suite d’une opération sur titres le 05/02/2016, les performances indiquées correspondent à celles du compartiment « NMX®30 Infrastructure Global THEAM Easy UC",False,False,False,False
55,Quelle a été la meilleure année pour le fonds Apprecio E entre 2011 et 2020 ?,2012, 2014,False,False,False,False
56,En quelle année le fonds a-t-il enregistré sa pire performance ?,2018, 2018,True,True,True,True
57,Le fonds Apprecio E a-t-il surperformé l’indicateur de référence en 2017 ?,Oui, No.,False,False,False,False
58,"En 2019, le fonds a-t-il enregistré une performance supérieure à 5 % ?",Oui, Yes.,True,True,True,True
59,Quelle est la seule année où la performance du fonds et celle de l’indice sont quasiment identiques ?,2017, 2014,False,False,False,False
60,Comment est calculée la performance du fonds Apprecio E ?,"coupons nets réinvestis, et nette de frais de gestion directs et indirects et hors frais d’entrée et de sortie"," Elle est calculée coupons nets réinvestis, nette de frais de gestion directs et indirects et hors frais d'entrée et de sortie.",True,True,True,True
61,Quand a été créé le fonds Apprecio E ?,28/04/2006, 28/04/2006,True,True,True,True
62,Quel changement au niveau du dépositaire est survenu durant la période présentée ?,changement de société de gestion de VP FINANCE GESTION à WiseAM et de dépositaire de Banque Leonardo à Crédit Industriel et Commercial (CIC), Leonardo & Crédit Industriel et Commercial (CIC).,False,False,False,False
63,Quel changement au niveau de la société de gestion est survenu durant la période présentée ?,changement de société de gestion de VP FINANCE GESTION à WiseAM, VP FINANCE Gestion a été remplacé par EESTER.,False,False,False,False
64,En quelle année la part A-EUR du fonds a-t-elle enregistré sa meilleure performance annuelle ?,2013, 2013,True,True,True,True
65,Quelle a été la pire performance du fonds entre 2011 et 2020 ?,2018," -4,4%",False,False,False,False
66,Quelle est la performance du fonds en 2020 ?,"22,72%"," -4,4%",False,False,False,False
67,Y a-t-il une année où le fonds a enregistré une performance proche de zéro ?,Oui, 2015,False,False,False,False
68,Comment la performance du fonds est-elle calculée ?,coupons nets réinvestis et hors frais d’entrée, Coupons nets réinvestis et hors frais d'entrée.,True,True,True,True
69,Quelle est la devise utilisée pour calculer les performances ?,euro, L'euro.,True,True,True,True
70,Depuis quand la part A-EUR du fonds existe-t-elle ?,1er décembre 2006, 10 novembre 2006,False,False,False,False
71,Le fonds est-il comparé à un indice de référence dans ce document ?,Non, Oui.,False,False,False,False
72,"Quel est le nom complet du fonds figurant dans la rubrique “Performances passées”, et à quelle classe de part correspond-il ?",Varenne Selection part A-EU, FIA Varenne Selection part A-EUR,False,False,False,False
73,À combien s’élève le taux de commission de surperformance dans cet exemple ?,20 %, 20%,True,True,True,True
74,Le mécanisme de clawback a-t-il empêché la facturation d'une commission en année 9 ?,Oui, Yes.,True,True,True,True
75,Y a t-il eu un commission de surperformance à payer en année 3 ?,Non, Oui.,False,False,False,False
76,"En année 6, le fonds a-t-il récupéré toute sa sous-performance ?",Non, Non.,True,True,True,True
77,En quelle année une sous-performance de -10 % est enregistrée ?,Y8, 2018,False,False,False,False
78,En quelle année la performance du fonds est-elle tombée à -5 % ?,Y3, 2011,False,False,False,False
79,Quelle est la performance du fonds en année 1 ?,5 %, -1.12%,False,False,False,False
80,Une  commission de performance est-elle dûe la sixième année ?,Oui, Oui.,True,True,True,True
81,En quelle(s) année(s) observe-t-on un prélèvement de frais de surperformance ?,Année 2 ; Année 5," Année 2, Année 3, Année 4, Année 5",False,False,False,False
82,"En année 3, y a-t-il une commission de surperformance prélevée ?",Non, Oui.,False,False,False,False
83,"En année 4, la performance dépasse-t-elle le Hurdle ?",Oui, Yes.,True,True,True,True
84,"À partir de l'année 3, à quel moment la VNI nette repasse t-elle au-dessus du HWM ?",Année 5, Année 4,False,False,False,False
85,Que représente la courbe rouge ?,VNI (après frais de surperformance), VNB nette (après frais de surperformance),False,False,False,False
86,Quel modèle de commission de surperformance est illustré dans ce graphique ?,modèle avec HWM 5Y, HWM 5Y,True,True,True,True
87,La VNI nette à la fin de l’année 5 est-elle de plus de 105 ?,Oui, No.,False,False,False,False
88,En quelle année le fonds a-t-il réalisé sa meilleure performance ?,2016, 2021,False,False,False,False
89,Combien d’années le fonds a-t-il surperformé l’indice MSCI World ?,4, 6,False,False,False,False
90,Quelle a été la performance du fonds en 2020 ?,"3,4%", 19.2%,False,False,False,False
91,Quelle année montre le plus grand écart de performance entre le fonds et l’indice ?,2019, 2015,False,False,False,False
92,Quelles sont les années pendant lesquelles le fonds a eu une performance négative ?,2011 ; 2014 ; 2015 ; 2018," 2011, 2014, 2015, 2018.",True,True,True,True
93,En quelle année le fonds a-t-il le plus sous-performé l’indice ?,2019, 2015,False,False,False,False
94,En quelle année le fonds a le plus surperformé l’indice ?,2016, 2020,False,False,False,False
95,En quelle année l’indice a le plus surperformé le fonds ?,2019, 2015,False,False,False,False
96,Combien de fois le fonds a-t-il eu une performance supérieure à 20 % ?,2, 3,False,False,False,False
97,Combien d’années le fonds a-t-il affiché une performance positive ?,7, 7,True,True,True,True
98,En quelle année la différence de performance entre le fonds et l’indice est la plus faible en % ?,2017, 2019,False,False,False,False
99,Combien de fois le fonds a-t-il affiché une performance inférieure à -10 % ?,3, 2,False,False,False,False
100,Quelle est la part des investissements durables dans le total des investissements ?,"80,00 %", 80.00 %,True,True,True,True
101,A combien s'élève la part des investissements non durables ?,"20,00 %"," 20,00 %",True,True,True,True
102,"Parmi les investissements durables, quelle part est allouée aux critères environnementaux ?","0,00 %", 0.00 %,True,True,True,True
103,Les investissements durables incluent-ils une composante sociale ?,Non, Non.,True,True,True,True
104,Peut-on considérer que les investissements ont un objectif environnemental ou social ?,Non, Non.,True,True,True,True
105,"Quel est le niveau d’alignement des investissements avec la taxonomie européenne, obligations souveraines incluses ?","0,00 %", 0.00%,True,True,True,True
106,L’exclusion des obligations souveraines modifie-t-elle le niveau d’alignement avec la taxonomie ?,Non, No.,True,True,True,True
107,"Quelle est la part des investissements classés comme ""autres investissements"" dans les deux graphiques en camembert ?","100,00 %", 0.00%,False,False,False,False
108,Vrai ou Faux ? Les investissements du portefeuille sont alignés à 50 % sur la taxonomie européenne.,Faux, Faux,True,True,True,True
109,"Vrai ou Faux ? Le portefeuille présente un alignement de 0,00 % avec la taxonomie, obligations souveraines incluses.",Vrai, Faux,False,False,False,False
110,La part d’investissements alignés sur la taxonomie augmente lorsque l’on exclut les obligations souveraines. Vrai ou Faux ?,Faux, Faux,True,True,True,True
111,"Tous les investissements sont classés comme ""autres investissements"" dans les deux graphiques. Vrai ou Faux ?",Vrai, Vrai,True,True,True,True
112,Vrai ou Faux ? Le graphique permet de conclure que les critères environnementaux ne sont pas respectés par le portefeuille. ,Vrai, Faux,False,False,False,False
113,Quelle a été la performance du fonds en 2018 ?,"-10,63 %", -10.63%,True,True,True,True
114,En quelle année le fonds a-t-il eu une performance négative ?,2018, 2018,True,True,True,True
115,En quelle année le fonds a t-il eu sa meilleure performance ?,2019, 2019,True,True,True,True
116,Vrai ou Faux ? La performance du fonds a toujours été positive entre 2017 et 2021.,Faux, Faux,True,True,True,True
117,Y a t-il une performance inscrite pour l'année 2021 dans le graphique ?,Non, Oui.,False,False,False,False
118,Quel est le nom du produit dont on étudie les performances passées ?,Opéra Première Symphonie C EUR, Opéra Première Symphonie,False,False,False,False
119,Quelle a été la performance du fonds CD France Expertise en 2018 ?,"-2,0 %", -8.9%,False,False,False,False
120,"En 2020, le fonds a-t-il mieux résisté que son indice de référence ?",Oui, Oui.,True,True,True,True
121,Combien d’années le fonds a-t-il enregistré une performance supérieure à celle de son indice ?,6, 6,True,True,True,True
122,Quelles sont les années pendant lesquelles le fonds a eu une performance supérieure à celle de son indice ?,2011 ; 2014 ; 2015 ; 2017 ; 2018 ; 2020," 2011, 2013, 2014, 2016, 2017",False,False,False,False
123,Comment les performances sont-elles calculées pour le fonds,Les performances de CD France Expertise présentées ici sont calculées revenus nets réinvestis et après déduction de tous les frais du fonds, Les performances sont calculées revenues nets réinvestis et après déduction de tous les frais du fonds.,True,True,True,True
124,Comment les performances sont-elles calculées pour l’indice ?,Les performances de l'indicateur de référence sont calculées dividendes réinvestis, Les performances sont calculées dividends réinvestis.,True,True,True,True
125,Quelle a été la performance du fonds FCP AGA Capital Plus en 2021 ?,"14,03 %"," 14,03%",True,True,True,True
126,Quelle est l’année où le fonds a enregistré sa meilleure performance parmi celles affichées ?,2021, 2021,True,True,True,True
127,Quelle a été la performances de l'indice MSCI EMU Net Return  en 2020 ?,-0.01, 25.6%,False,False,False,False
128,Quelle a été la performance la plus élevée de l’OPCVM sur la période 2015–2021 ?,"12,56 %", 12.56%,True,True,True,True
